,API,Arg,Descp,Normalized_descp,dtype,shape,ndim,range,enum,structure
2842,mxnet.gluon.nn.AvgPool1D,layout,"Dimension ordering of data and out ('NCW' or 'NWC'). 'N', 'C', 'W' stands for batch, channel, and width (time) dimensions respectively. padding is applied on 'W' dimension.",PARAM is applied on QSTR dimension,,,,,,
2843,mxnet.ndarray.op.mp_lamb_update_phase1,clip_gradient,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",PARAM max BSTR,,,,,,
2844,mxnet.ndarray.op.signum_update,clip_gradient,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",PARAM max BSTR,,,,,,
2845,mxnet.ndarray.ftml_update,clip_grad,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",PARAM max BSTR,,,,,,
2846,mxnet.ndarray.mp_sgd_mom_update,clip_gradient,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",PARAM max BSTR,,,,,,
2847,mxnet.contrib.ndarray.group_adagrad_update,clip_gradient,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",PARAM max BSTR,,,,,,
2848,mxnet.contrib.ndarray.BilinearResize2D,mode,"DD: {'like', 'odd_scale', 'size', 'to_even_down', 'to_even_up', 'to_odd_down', 'to_odd_up'},optional, default='size'",PARAM QSTR optional default QSTR,,,,,QSTR,
2849,mxnet.ndarray.Embedding,dtype,Data type of weight.,PARAM type of PARAM,numpy.dtype,,0,,,
2850,mxnet.ndarray.random.multinomial,dtype,Data type of the sample output array. The default is int32. Note that the data type of the log likelihood array is the same with that of data.,PARAM type of the sample output D_STRUCTURE,numpy.dtype,,0,,,
2851,mxnet.gluon.rnn.RNNCell,params,DD: Parameter or None,Parameter or None,,,,,,
2852,mxnet.gluon.rnn.LSTMCell,params,"DD: Parameter or None, default None",Parameter or None default None,,,,,,
2853,mxnet.gluon.rnn.GRUCell,params,"DD: Parameter or None, default None",Parameter or None default None,,,,,,
2854,mxnet.io.LibSVMIter,num_parts,partition the data into multiple parts,partition the data into multiple parts,,,,,,
2855,mxnet.image.CreateDetAugmenter,pca_noise,Pca noise level (percent),Pca noise level BSTR,,,,,,
2856,mxnet.ndarray.op.ftrl_update,beta,Per-Coordinate Learning Rate beta.,Per Coordinate Learning Rate beta,,,,,,
2857,mxnet.ndarray.Pooling,pooling_convention,Pooling convention to be applied.,Pooling convention to be applied,,,,,,
2858,mxnet.gluon.nn.GlobalMaxPool1D,layout,"Dimension ordering of data and out ('NCW' or 'NWC'). 'N', 'C', 'W' stands for batch, channel, and width (time) dimensions respectively. Pooling is applied on the W dimension.",Pooling is applied on the W dimension,,,,,,
2859,mxnet.contrib.ndarray.quantized_pooling,pool_type,Pooling type to be applied.,Pooling type to be applied,,,,,,
2860,mxnet.model.load_checkpoint,prefix,Prefix of model name.,Prefix of model name,string,,0,,,
2861,mxnet.ndarray.contrib.MultiBoxPrior,offsets,"Priorbox center offsets, y and x respectively",Priorbox center offsets y and x respectively,,,,,,
2862,mxnet.ndarray.contrib.MultiBoxPrior,steps,"Priorbox step across y and x, -1 for auto calculation.",Priorbox step across y and x CONSTANT_NUM for auto calculation,,,,,,
2863,mxnet.contrib.ndarray.MultiBoxPrior,steps,"Priorbox step across y and x, -1 for auto calculation.",Priorbox step across y and x CONSTANT_NUM for auto calculation,,,,,,
2864,mxnet.ndarray.moments,keepdims,produce moments with the same dimensionality as the input.,produce moments with the same dimensionality as the input,,,,,,
2865,mxnet.ndarray.op.moments,keepdims,produce moments with the same dimensionality as the input.,produce moments with the same dimensionality as the input,,,,,,
2866,mxnet.contrib.ndarray.ROIAlign,position_sensitive,"Whether to perform position-sensitive RoI pooling. PSRoIPooling is first proposaled by R-FCN and it can reduce the input channels by ph*pw times, where (ph, pw) is the pooled_size",PSRoIPooling is first proposaled by R FCN and it can reduce the input channels by ph pw times where BSTR is the PARAM,,,,,,
2867,mxnet.gluon.nn.Conv3DTranspose,activation,"Activation function to use. See `Activation()`. If you don't specify anything, no activation is applied (ie. ""linear"" activation: a(x) = x).",QSTR activation a BSTR x,,,,,,
2868,mxnet.ndarray.contrib.box_nms,in_format,"The input box encoding type. ""corner"" means boxes are encoded as [xmin, ymin, xmax, ymax], ""center"" means boxes are encodes as [x, y, width, height].",QSTR means boxes are encoded as BSTR QSTR means boxes are encodes as BSTR,,,,,QSTR,
2869,mxnet.contrib.ndarray.box_non_maximum_suppression,in_format,"The input box encoding type. ""corner"" means boxes are encoded as [xmin, ymin, xmax, ymax], ""center"" means boxes are encodes as [x, y, width, height].",QSTR means boxes are encoded as BSTR QSTR means boxes are encodes as BSTR,,,,,QSTR,
2870,mxnet.contrib.ndarray.box_nms,out_format,"The output box encoding type. ""corner"" means boxes are encoded as [xmin, ymin, xmax, ymax], ""center"" means boxes are encodes as [x, y, width, height].",QSTR means boxes are encoded as BSTR QSTR means boxes are encodes as BSTR,,,,,QSTR,
2871,mxnet.ndarray.op.Dropout,mode,"DD: {'always', 'training'},optional, default='training'",QSTR optional default QSTR,,,,,QSTR,
2872,mxnet.contrib.ndarray.quantized_pooling,pool_type,"DD: {'avg', 'lp', 'max', 'sum'},optional, default='max'",QSTR optional default QSTR,,,,,QSTR,
2873,mxnet.ndarray.Softmax,normalization,"DD: {'batch', 'null', 'valid'},optional, default='null'",QSTR optional default QSTR,,,,,QSTR,
2874,mxnet.ndarray.op.MakeLoss,normalization,"DD: {'batch', 'null', 'valid'},optional, default='null'",QSTR optional default QSTR,,,,,QSTR,
2875,mxnet.ndarray.MakeLoss,normalization,"DD: {'batch', 'null', 'valid'},optional, default='null'",QSTR optional default QSTR,,,,,QSTR,
2876,mxnet.contrib.ndarray.box_nms,out_format,"DD: {'center', 'corner'},optional, default='corner'",QSTR optional default QSTR,,,,,QSTR,
2877,mxnet.ndarray.contrib.box_nms,in_format,"DD: {'center', 'corner'},optional, default='corner'",QSTR optional default QSTR,,,,,QSTR,
2878,mxnet.contrib.ndarray.box_non_maximum_suppression,in_format,"DD: {'center', 'corner'},optional, default='corner'",QSTR optional default QSTR,,,,,QSTR,
2879,mxnet.ndarray.op.UpSampling,multi_input_mode,"DD: {'concat', 'sum'},optional, default='concat'",QSTR optional default QSTR,,,,,QSTR,
2880,mxnet.ndarray.LeakyReLU,act_type,"DD: {'elu', 'gelu', 'leaky', 'prelu', 'rrelu', 'selu'},optional, default='leaky'",QSTR optional default QSTR,,,,,QSTR,
2881,mxnet.contrib.ndarray.CTCLoss,blank_label,"DD: {'first', 'last'},optional, default='first'",QSTR optional default QSTR,,,,,QSTR,
2882,mxnet.ndarray.one_hot,dtype,"DD: {'float16', 'float32', 'float64', 'int32', 'int64', 'int8', 'uint8'},optional, default='float32'",QSTR optional default QSTR,,,,,QSTR,
2883,mxnet.ndarray.Embedding,dtype,"DD: {'float16', 'float32', 'float64', 'int32', 'int64', 'int8', 'uint8'},optional, default='float32'",QSTR optional default QSTR,,,,,QSTR,
2884,mxnet.ndarray.Pooling,pooling_convention,"DD: {'full', 'same', 'valid'},optional, default='valid'",QSTR optional default QSTR,,,,,QSTR,
2885,mxnet.ndarray.contrib.quantize,out_type,"DD: {'int8', 'uint8'},optional, default='uint8'",QSTR optional default QSTR,,,,,QSTR,
2886,mxnet.ndarray.sample_gamma,dtype,"DD: {'None', 'float16', 'float32', 'float64'},optional, default='None'",QSTR optional default QSTR,,,,,QSTR,
2887,mxnet.ndarray.op.random_uniform,dtype,"DD: {'None', 'float16', 'float32', 'float64'},optional, default='None'",QSTR optional default QSTR,,,,,QSTR,
2888,mxnet.ndarray.op.sample_generalized_negative_binomial,dtype,"DD: {'None', 'float16', 'float32', 'float64'},optional, default='None'",QSTR optional default QSTR,,,,,QSTR,
2889,mxnet.ndarray.random_gamma,dtype,"DD: {'None', 'float16', 'float32', 'float64'},optional, default='None'",QSTR optional default QSTR,,,,,QSTR,
2890,mxnet.ndarray.random_normal,dtype,"DD: {'None', 'float16', 'float32', 'float64'},optional, default='None'",QSTR optional default QSTR,,,,,QSTR,
2891,mxnet.contrib.ndarray.BilinearResize2D,mode,"resizing mode. ""simple"" - output height equals parameter ""height"" if ""scale_height"" parameter is not defined or input height multiplied by ""scale_height"" otherwise. Same for width;""odd_scale"" - if original height or width is odd, then result height is calculated like result_h = (original_h - 1) * scale + 1; for scale > 1 the result shape would be like if we did deconvolution with kernel = (1, 1) and stride = (height_scale, width_scale); and for scale < 1 shape would be like we did convolution with kernel = (1, 1) and stride = (int(1 / height_scale), int( 1/ width_scale);""like"" - resize first input to the height and width of second input; ""to_even_down"" - resize input to nearest lower even height and width (if original height is odd then result height = original height - 1);""to_even_up"" - resize input to nearest bigger even height and width (if original height is odd then result height = original height + 1);""to_odd_down"" - resize input to nearest odd height and width (if original height is odd then result height = original height - 1);""to_odd_up"" - resize input to nearest odd height and width (if original height is odd then result height = original height + 1);",QSTR output PARAM equals parameter PARAM if PARAM parameter is not defined or input PARAM multiplied by PARAM otherwise,,,,,,
2892,mxnet.ndarray.op.pad,mode,"Padding type to use. ""constant"" pads with CONSTANT_NUMue ""edge"" pads using the edge values of the input array ""reflect"" pads by reflecting values with respect to the edges.",QSTR pads with PARAM QSTR pads using the edge values of the input D_STRUCTURE QSTR pads by reflecting values with respect to the edges,,,,,,
2893,mxnet.ndarray.op.pad,mode,"DD: {'constant', 'edge', 'reflect'}, required",QSTR required,,,,,QSTR,
2894,mxnet.ndarray.op.amp_cast,dtype,"DD: {'float16', 'float32', 'float64', 'int32', 'int64', 'int8', 'uint8'}, required",QSTR required,,,,,QSTR,
2895,mxnet.ndarray.op.RNN,mode,"DD: {'gru', 'lstm', 'rnn_relu', 'rnn_tanh'}, required",QSTR required,,,,,QSTR,
2896,mxnet.gluon.nn.AvgPool1D,layout,"Dimension ordering of data and out ('NCW' or 'NWC'). 'N', 'C', 'W' stands for batch, channel, and width (time) dimensions respectively. padding is applied on 'W' dimension.",QSTR stands for batch channel and width BSTR dimensions respectively,,,,,,
2897,mxnet.gluon.nn.GlobalMaxPool1D,layout,"Dimension ordering of data and out ('NCW' or 'NWC'). 'N', 'C', 'W' stands for batch, channel, and width (time) dimensions respectively. Pooling is applied on the W dimension.",QSTR stands for batch channel and width BSTR dimensions respectively,,,,,,
2898,mxnet.gluon.nn.Conv1DTranspose,layout,"Dimension ordering of data and weight. Only supports 'NCW' layout for now. 'N', 'C', 'W' stands for batch, channel, and width (time) dimensions respectively. Convolution is applied on the 'W' dimension.",QSTR stands for batch channel and width BSTR dimensions respectively,,,,,,
2899,mxnet.gluon.nn.Conv1D,layout,"Dimension ordering of data and weight. Only supports 'NCW' layout for now. 'N', 'C', 'W' stands for batch, channel, and width (time) dimensions respectively. Convolution is applied on the 'W' dimension.",QSTR stands for batch channel and width BSTR dimensions respectively,,,,,,
2900,mxnet.gluon.nn.GlobalAvgPool2D,layout,"Dimension ordering of data and out ('NCHW' or 'NHWC'). 'N', 'C', 'H', 'W' stands for batch, channel, height, and width dimensions respectively.",QSTR stands for batch channel height and width dimensions respectively,,,,,,
2901,mxnet.gluon.nn.Conv2DTranspose,layout,"Dimension ordering of data and weight. Only supports 'NCHW' and 'NHWC' layout for now. 'N', 'C', 'H', 'W' stands for batch, channel, height, and width dimensions respectively. Convolution is applied on the 'H' and 'W' dimensions.",QSTR stands for batch channel height and width dimensions respectively,,,,,,
2902,mxnet.test_utils.check_speed,typ,"""whole"" or ""forward""   ""whole""Test the forward_backward speed.   ",QSTR Test the forward_backward speed,,,,,QSTR,
2903,mxnet.ndarray.contrib.interleaved_matmul_selfatt_valatt,queries_keys_values,"Queries, keys and values interleaved",Queries keys and values interleaved,,,,,,
2904,mxnet.ndarray.contrib.PSROIPooling,spatial_scale,Ratio of input feature map height (or w) to raw image height (or w). Equals the reciprocal of total stride in convolutional layers,Ratio of input feature map height BSTR,numeric,,,,,
2905,mxnet.gluon.contrib.rnn.Conv2DRNNCell,h2h_dilate,Recurrent convolution dilate.,Recurrent convolution dilate,,,,,,
2906,mxnet.gluon.contrib.rnn.Conv2DGRUCell,h2h_dilate,Recurrent convolution dilate.,Recurrent convolution dilate,,,,,,
2907,mxnet.gluon.contrib.rnn.Conv3DGRUCell,h2h_dilate,Recurrent convolution dilate.,Recurrent convolution dilate,,,,,,
2908,mxnet.gluon.contrib.rnn.Conv3DRNNCell,h2h_kernel,Recurrent convolution kernel sizes. Only odd-numbered sizes are supported.,Recurrent convolution kernel sizes,int,,,"[0,inf)",,
2909,mxnet.ndarray.linalg_extracttrian,lower,"Refer to the lower triangular matrix if lower=true, refer to the upper otherwise. Only relevant when offset=0",Refer to the lower triangular matrix if lower CONSTANT_BOOL refer to the upper otherwise,,,,,,
2910,mxnet.test_utils.check_speed,N,Repeat times.,Repeat times,int,,0,"[0,inf)",,
2911,mxnet.ndarray.op.multi_sgd_update,rescale_grad,Rescale gradient to grad = rescale_grad*grad.,Rescale gradient to grad rescale_grad grad,,,,,,
2912,mxnet.ndarray.preloaded_multi_sgd_update,rescale_grad,Rescale gradient to grad = rescale_grad*grad.,Rescale gradient to grad rescale_grad grad,,,,,,
2913,mxnet.ndarray.op.multi_sgd_mom_update,rescale_grad,Rescale gradient to grad = rescale_grad*grad.,Rescale gradient to grad rescale_grad grad,,,,,,
2914,mxnet.ndarray.preloaded_multi_sgd_mom_update,rescale_grad,Rescale gradient to grad = rescale_grad*grad.,Rescale gradient to grad rescale_grad grad,,,,,,
2915,mxnet.ndarray.op.multi_mp_sgd_mom_update,rescale_grad,Rescale gradient to grad = rescale_grad*grad.,Rescale gradient to grad rescale_grad grad,,,,,,
2916,mxnet.ndarray.multi_sgd_mom_update,rescale_grad,Rescale gradient to grad = rescale_grad*grad.,Rescale gradient to grad rescale_grad grad,,,,,,
2917,mxnet.ndarray.op.sgd_update,rescale_grad,Rescale gradient to grad = rescale_grad*grad.,Rescale gradient to PARAM rescale_grad PARAM,,,,,,
2918,mxnet.ndarray.op.signum_update,rescale_grad,Rescale gradient to grad = rescale_grad*grad.,Rescale gradient to PARAM rescale_grad PARAM,,,,,,
2919,mxnet.ndarray.mp_nag_mom_update,rescale_grad,Rescale gradient to grad = rescale_grad*grad.,Rescale gradient to PARAM rescale_grad PARAM,,,,,,
2920,mxnet.ndarray.op.adam_update,rescale_grad,Rescale gradient to grad = rescale_grad*grad.,Rescale gradient to PARAM rescale_grad PARAM,,,,,,
2921,mxnet.ndarray.sparse.ftrl_update,rescale_grad,Rescale gradient to grad = rescale_grad*grad.,Rescale gradient to PARAM rescale_grad PARAM,,,,,,
2922,mxnet.contrib.ndarray.group_adagrad_update,rescale_grad,Rescale gradient to grad = rescale_grad*grad.,Rescale gradient to PARAM rescale_grad PARAM,,,,,,
2923,mxnet.ndarray.mp_sgd_mom_update,rescale_grad,Rescale gradient to grad = rescale_grad*grad.,Rescale gradient to PARAM rescale_grad PARAM,,,,,,
2924,mxnet.ndarray.rmspropalex_update,rescale_grad,Rescale gradient to grad = rescale_grad*grad.,Rescale gradient to PARAM rescale_grad PARAM,,,,,,
2925,mxnet.ndarray.sparse.adagrad_update,rescale_grad,Rescale gradient to grad = rescale_grad*grad.,Rescale gradient to PARAM rescale_grad PARAM,,,,,,
2926,mxnet.callback.log_train_metric,auto_reset,Reset the metric after each log.,Reset the metric after each log,,,,,,
2927,mxnet.image.CreateDetAugmenter,resize,Resize shorter edge if larger than 0 at the begining,Resize shorter edge if larger than CONSTANT_NUM at the begining,,,,,,
2928,mxnet.contrib.ndarray.BilinearResize2D,mode,"resizing mode. ""simple"" - output height equals parameter ""height"" if ""scale_height"" parameter is not defined or input height multiplied by ""scale_height"" otherwise. Same for width;""odd_scale"" - if original height or width is odd, then result height is calculated like result_h = (original_h - 1) * scale + 1; for scale > 1 the result shape would be like if we did deconvolution with kernel = (1, 1) and stride = (height_scale, width_scale); and for scale < 1 shape would be like we did convolution with kernel = (1, 1) and stride = (int(1 / height_scale), int( 1/ width_scale);""like"" - resize first input to the height and width of second input; ""to_even_down"" - resize input to nearest lower even height and width (if original height is odd then result height = original height - 1);""to_even_up"" - resize input to nearest bigger even height and width (if original height is odd then result height = original height + 1);""to_odd_down"" - resize input to nearest odd height and width (if original height is odd then result height = original height - 1);""to_odd_up"" - resize input to nearest odd height and width (if original height is odd then result height = original height + 1);",resizing mode,,,,,,
2929,mxnet.contrib.quantization.quantize_model,logger,DF: <moduleloggingfrom/work/conda_env/lib/python3.8/logging/__init__.py>,REXPR work conda_env lib python3 CONSTANT_NUM logging init py,,,,,,
2930,mxnet.gluon.contrib.rnn.Conv2DGRUCell,params,"DD: RNNParams, default None",RNNParams default None,,,,,,
2931,mxnet.ndarray.ROIPooling,pooled_size,"ROI pooling output shape (h,w)",ROI pooling output shape BSTR,,,,,,
2932,mxnet.test_utils.check_symbolic_backward,ctx,Running context.,Running context,,,,,,
2933,mxnet.ndarray.op.BatchNorm,moving_mean,running mean of input,running mean of input,numeric,,,,,
2934,mxnet.contrib.ndarray.SyncBatchNorm,moving_var,running variance of input,running variance of input,numeric,,,,,
2935,mxnet.contrib.ndarray.BilinearResize2D,mode,"resizing mode. ""simple"" - output height equals parameter ""height"" if ""scale_height"" parameter is not defined or input height multiplied by ""scale_height"" otherwise. Same for width;""odd_scale"" - if original height or width is odd, then result height is calculated like result_h = (original_h - 1) * scale + 1; for scale > 1 the result shape would be like if we did deconvolution with kernel = (1, 1) and stride = (height_scale, width_scale); and for scale < 1 shape would be like we did convolution with kernel = (1, 1) and stride = (int(1 / height_scale), int( 1/ width_scale);""like"" - resize first input to the height and width of second input; ""to_even_down"" - resize input to nearest lower even height and width (if original height is odd then result height = original height - 1);""to_even_up"" - resize input to nearest bigger even height and width (if original height is odd then result height = original height + 1);""to_odd_down"" - resize input to nearest odd height and width (if original height is odd then result height = original height - 1);""to_odd_up"" - resize input to nearest odd height and width (if original height is odd then result height = original height + 1);",Same for PARAM QSTR if original PARAM or PARAM is odd then result PARAM is calculated PARAM result_h BSTR scale CONSTANT_NUM for scale REXPR the result shape would be PARAM if we did deconvolution with kernel BSTR and stride BSTR and for scale REXPR shape would be PARAM we did convolution with kernel BSTR and stride BSTR PARAM resize first input to the PARAM and PARAM of second input QSTR resize input to nearest lower even PARAM and PARAM if original PARAM is odd then result PARAM original PARAM CONSTANT_NUM QSTR resize input to nearest bigger even PARAM and PARAM if original PARAM is odd then result PARAM original PARAM CONSTANT_NUM QSTR resize input to nearest odd PARAM and PARAM if original PARAM is odd then result PARAM original PARAM CONSTANT_NUM QSTR resize input to nearest odd PARAM and PARAM if original PARAM is odd then result PARAM original PARAM CONSTANT_NUM,,,,,,
2936,mxnet.ndarray.random_pdf_poisson,sample,Samples from the distributions.,Samples from the distributions,,,,,,
2937,mxnet.ndarray.op.random_pdf_negative_binomial,sample,Samples from the distributions.,Samples from the distributions,,,,,,
2938,mxnet.ndarray.random_pdf_generalized_negative_binomial,sample,Samples from the distributions.,Samples from the distributions,,,,,,
2939,mxnet.ndarray.contrib.BilinearResize2D,scale_height,"sampling scale of the height (optional, used in modes ""scale"" and ""odd_scale"")",sampling scale of the PARAM optional used in modes QSTR,,,,,,
2940,mxnet.ndarray.contrib.BilinearResize2D,scale_width,"sampling scale of the width (optional, used in modes ""scale"" and ""odd_scale"")",sampling scale of the PARAM optional used in modes QSTR,,,,,,
2941,mxnet.ndarray.op.linalg_gemm,alpha,Scalar factor multiplied with A*B.,Scalar factor multiplied with A B,,,0,,,
2942,mxnet.ndarray.linalg_gemm2,alpha,Scalar factor multiplied with A*B.,Scalar factor multiplied with A B,,,0,,,
2943,mxnet.ndarray.linalg.gemm2,alpha,Scalar factor multiplied with A*B.,Scalar factor multiplied with A B,,,0,,,
2944,mxnet.ndarray.linalg.trsm,alpha,Scalar factor to be applied to the result.,Scalar factor to be applied to the result,,,0,,,
2945,mxnet.ndarray.linalg_syrk,alpha,Scalar factor to be applied to the result.,Scalar factor to be applied to the result,,,0,,,
2946,mxnet.ndarray.op.smooth_l1,scalar,scalar input,scalar input,,,0,,,
2947,mxnet.ndarray.power,exp,DD: scalar or NDArray,scalar or D_STRUCTURE,,,0,,,D_STRUCTURE
2948,mxnet.ndarray.greater_equal,rhs,DD: scalar or mxnet.ndarray.array,scalar or mxnet D_STRUCTURE D_STRUCTURE,,,0,,,D_STRUCTURE
2949,mxnet.ndarray.logical_xor,rhs,DD: scalar or mxnet.ndarray.array,scalar or mxnet D_STRUCTURE D_STRUCTURE,,,0,,,D_STRUCTURE
2950,mxnet.ndarray.modulo,lhs,DD: scalar or mxnet.ndarray.array,scalar or mxnet D_STRUCTURE D_STRUCTURE,,,0,,,D_STRUCTURE
2951,mxnet.ndarray.multiply,rhs,DD: scalar or mxnet.ndarray.array,scalar or mxnet D_STRUCTURE D_STRUCTURE,,,0,,,D_STRUCTURE
2952,mxnet.ndarray.logical_xor,lhs,DD: scalar or mxnet.ndarray.array,scalar or mxnet D_STRUCTURE D_STRUCTURE,,,0,,,D_STRUCTURE
2953,mxnet.ndarray.maximum,lhs,DD: scalar or mxnet.ndarray.array,scalar or mxnet D_STRUCTURE D_STRUCTURE,,,0,,,D_STRUCTURE
2954,mxnet.ndarray.sparse.add,rhs,DD: scalar or mxnet.ndarray.sparse.array,scalar or mxnet D_STRUCTURE sparse D_STRUCTURE,,,0,,,D_STRUCTURE
2955,mxnet.ndarray.op.LogisticRegressionOutput,grad_scale,Scale the gradient by a float factor,Scale the gradient by a D_TYPE factor,,,,,,
2956,mxnet.ndarray.sparse.LogisticRegressionOutput,grad_scale,Scale the gradient by a float factor,Scale the gradient by a D_TYPE factor,,,,,,
2957,mxnet.ndarray.MAERegressionOutput,grad_scale,Scale the gradient by a float factor,Scale the gradient by a D_TYPE factor,,,,,,
2958,mxnet.ndarray.SoftmaxOutput,grad_scale,Scales the gradient by a float factor.,Scales the gradient by a D_TYPE factor,,,,,,
2959,mxnet.ndarray.op.SoftmaxOutput,grad_scale,Scales the gradient by a float factor.,Scales the gradient by a D_TYPE factor,,,,,,
2960,mxnet.contrib.ndarray.MultiProposal,cls_prob,Score of how likely proposal is object.,Score of how likely proposal is object,,,,,,
2961,mxnet.ndarray.sparse.add,rhs,"Second array to be added. If `lhs.shape != rhs.shape`, they must be broadcastable to a common shape.",Second D_STRUCTURE to be added,,,,,,D_STRUCTURE
2962,mxnet.ndarray.greater_equal,rhs,"Second array to be compared. If `lhs.shape != rhs.shape`, they must be broadcastable to a common shape.",Second D_STRUCTURE to be compared,,,,,,D_STRUCTURE
2963,mxnet.ndarray.multiply,rhs,"Second array to be multiplied. If `lhs.shape != rhs.shape`, they must be broadcastable to a common shape.",Second D_STRUCTURE to be multiplied,,,,,,D_STRUCTURE
2964,mxnet.ndarray.elemwise_div,rhs,second input,second input,,,,,,
2965,mxnet.ndarray.broadcast_like,rhs,Second input.,Second input,,,,,,
2966,mxnet.ndarray.logical_xor,rhs,"Second input of the function. If `lhs.shape != rhs.shape`, they must be broadcastable to a common shape.",Second input of the function,,,,,,
2967,mxnet.ndarray.broadcast_hypot,rhs,Second input to the function,Second input to the function,,,,,,
2968,mxnet.ndarray.sparse.broadcast_minus,rhs,Second input to the function,Second input to the function,,,,,,
2969,mxnet.ndarray.broadcast_lesser,rhs,Second input to the function,Second input to the function,,,,,,
2970,mxnet.ndarray.broadcast_equal,rhs,Second input to the function,Second input to the function,,,,,,
2971,mxnet.ndarray.broadcast_not_equal,rhs,Second input to the function,Second input to the function,,,,,,
2972,mxnet.ndarray.op.broadcast_mul,rhs,Second input to the function,Second input to the function,,,,,,
2973,mxnet.ndarray.broadcast_plus,rhs,Second input to the function,Second input to the function,,,,,,
2974,mxnet.ndarray.broadcast_greater,rhs,Second input to the function,Second input to the function,,,,,,
2975,mxnet.ndarray.op.broadcast_not_equal,rhs,Second input to the function,Second input to the function,,,,,,
2976,mxnet.ndarray.broadcast_minimum,rhs,Second input to the function,Second input to the function,,,,,,
2977,mxnet.ndarray.op.broadcast_lesser,rhs,Second input to the function,Second input to the function,,,,,,
2978,mxnet.ndarray.sparse.broadcast_plus,rhs,Second input to the function,Second input to the function,,,,,,
2979,mxnet.ndarray.op.broadcast_power,rhs,Second input to the function,Second input to the function,,,,,,
2980,mxnet.ndarray.broadcast_mod,rhs,Second input to the function,Second input to the function,,,,,,
2981,mxnet.ndarray.sparse.row_sparse_array,arg1,The argument to help instantiate the row sparse ndarray. See above for further details.,See above for further details,,,,,,
2982,mxnet.gluon.nn.Conv3DTranspose,activation,"Activation function to use. See `Activation()`. If you don't specify anything, no activation is applied (ie. ""linear"" activation: a(x) = x).",See Activation,,,,,,
2983,mxnet.gluon.contrib.rnn.Conv3DGRUCell,activation,"Type of activation function used in n_t. If argument type is string, it's equivalent to nn.Activation(act_type=str). See `Activation()` for available choices. Alternatively, other activation blocks such as nn.LeakyReLU can be used.",See Activation for available choices,,,,,,
2984,mxnet.gluon.contrib.rnn.Conv1DRNNCell,activation,"Type of activation function. If argument type is string, it's equivalent to nn.Activation(act_type=str). See `Activation()` for available choices. Alternatively, other activation blocks such as nn.LeakyReLU can be used.",See Activation for available choices,,,,,,
2985,mxnet.ndarray.op.CTCLoss,use_label_lengths,"Whether the label lenghts are decided by label_lengths, or derived from padding_mask. If false, the lengths are derived from the first occurrence of the value of padding_mask. The value of padding_mask is `0` when first CTC label is reserved for blank, and `-1` when last label is reserved for blank. See blank_label.",See PARAM,,,,,,
2986,mxnet.ndarray.CTCLoss,use_label_lengths,"Whether the label lenghts are decided by label_lengths, or derived from padding_mask. If false, the lengths are derived from the first occurrence of the value of padding_mask. The value of padding_mask is `0` when first CTC label is reserved for blank, and `-1` when last label is reserved for blank. See blank_label.",See PARAM,,,,,,
2987,mxnet.ndarray.contrib.CTCLoss,use_label_lengths,"Whether the label lenghts are decided by label_lengths, or derived from padding_mask. If false, the lengths are derived from the first occurrence of the value of padding_mask. The value of padding_mask is `0` when first CTC label is reserved for blank, and `-1` when last label is reserved for blank. See blank_label.",See PARAM,,,,,,
2988,mxnet.image.center_crop,interp,Interpolation method. See resize_short for details.,See resize_short for details,,,,,,
2989,mxnet.ndarray.squeeze,axis,"Selects a subset of the single-dimensional entries in the shape. If an axis is selected with shape entry greater than one, an error is raised.",Selects a subset of the single dimensional entries in the shape,,,,,,
2990,mxnet.ndarray.op.Pooling,layout,"Set layout for input and output. Empty for default layout: NCW for 1d, NCHW for 2d and NCDHW for 3d.",Set layout for input and output,,,,,,
2991,mxnet.ndarray.contrib.quantized_pooling,layout,"Set layout for input and output. Empty for default layout: NCW for 1d, NCHW for 2d and NCDHW for 3d.",Set layout for input and output,,,,,,
2992,mxnet.ndarray.contrib.interleaved_matmul_selfatt_qk,heads,Set number of heads,Set number of heads,int,,0,"[0,inf)",,
2993,mxnet.contrib.ndarray.interleaved_matmul_selfatt_valatt,heads,Set number of heads,Set number of heads,int,,0,"[0,inf)",,
2994,mxnet.contrib.ndarray.interleaved_matmul_encdec_valatt,heads,Set number of heads,Set number of heads,int,,0,"[0,inf)",,
