,API,Arg,Descp,Normalized_descp,dtype,shape,ndim,range,enum,structure
907,torch.empty_strided,device,"the desired device of returned tensor. Default: if `None`, uses the current device for the default tensor type (see `torch.set_default_tensor_type()`). `device` will be the CPU for CPU tensor types and the current CUDA device for CUDA tensor types.",QSTR will be the CPU for CPU D_STRUCTURE types and the current CUDA device for CUDA D_STRUCTURE types,,,,,,
908,torch.sparse_coo_tensor,device,"the desired device of returned tensor. Default: if None, uses the current device for the default tensor type (see `torch.set_default_tensor_type()`). `device` will be the CPU for CPU tensor types and the current CUDA device for CUDA tensor types.",QSTR will be the CPU for CPU D_STRUCTURE types and the current CUDA device for CUDA D_STRUCTURE types,,,,,,
909,torch.nn.utils.prune.random_structured,amount,"quantity of parameters to prune. If `float`, should be between 0.0 and 1.0 and represent the fraction of parameters to prune. If `int`, it represents the absolute number of parameters to prune.",quantity of parameters to prune,int,,0,"[0,inf)",,
910,torch.nn.quantized.functional.conv3d,input,"quantized input tensor of shape (minibatch , in _channels , iD , iH , iW) ",quantized input D_STRUCTURE of shape BSTR,,BSTR,,,,D_STRUCTURE
911,torch.nn.quantized.functional.conv2d,input,"quantized input tensor of shape (minibatch , in _channels , iH , iW) ",quantized input D_STRUCTURE of shape BSTR,,BSTR,,,,D_STRUCTURE
912,torch.cuda.memory_stats,device,"selected device. Returns statistics for the current device, given by `current_device()`, if `device` is `None` (default).",Returns statistics for the current device given by current_device if QSTR is QSTR BSTR,,,,,,
913,torch.nn.Embedding,sparse,"If `True`, gradient w.r.t. `weight` matrix will be a sparse tensor. See Notes for more details regarding sparse gradients.",See Notes for more details regarding sparse gradients,,,,,,
914,torch.nn.functional.embedding,sparse,"If `True`, gradient w.r.t. `weight` will be a sparse tensor. See Notes under `torch.nn.Embedding` for more details regarding sparse gradients.",See Notes under torch nn Embedding for more details regarding sparse gradients,,,,,,
915,torch.cuda.memory_stats,device,"selected device. Returns statistics for the current device, given by `current_device()`, if `device` is `None` (default).",selected device,,,,,,
916,torch.bincount,weights,"optional, weight for each value in the input tensor. Should be of same size as input tensor.",Should be of same size as PARAM D_STRUCTURE,,,,,,
917,torch.nn.Linear,in_features,size of each input sample,size of each input sample,int,,,"[0,inf)",,
918,torch.nn.Bilinear,in2_features,size of each second input sample,size of each second input sample,int,,,"[0,inf)",,
919,torch.stft,n_fft,size of Fourier transform,size of Fourier transform,int,,,"[0,inf)",,
920,torch.nn.quantized.functional.avg_pool2d,kernel_size,"size of the pooling region. Can be a single number or a tuple (kH, kW)",size of the pooling region,int,,,"[0,inf)",,
921,torch.nn.PoissonNLLLoss,eps,Small value to avoid evaluation of  log(0)  when `log_input = False`. Default: 1e-8,Small value to avoid evaluation of log BSTR when PARAM CONSTANT_BOOL,numeric,,,,,
922,torch.nn.functional.poisson_nll_loss,eps,Small value to avoid evaluation of  log(0)  when `log_input`=``False``. Default: 1e-8,Small value to avoid evaluation of log BSTR when PARAM CONSTANT_BOOL,numeric,,,,,
923,torch.distributed.broadcast_multigpu,src,Source rank.,Source rank,,,,,,
924,torch.distributed.recv,src,Source rank. Will receive from any process if unspecified.,Source rank,,,,,,
925,torch.nn.Conv1d,dilation,Spacing between kernel elements. Default: 1,Spacing between kernel elements,,,,,,
926,torch.nn.SmoothL1Loss,reduction,"Specifies the reduction to apply to the output: `'none'` | `'mean'` | `'sum'`. `'none'`: no reduction will be applied, `'mean'`: the sum of the output will be divided by the number of elements in the output, `'sum'`: the output will be summed. Note: `size_average` and `reduce` are in the process of being deprecated, and in the meantime, specifying either of those two args will override `reduction`. Default: `'mean'`",Specifies the reduction to apply to the output QSTR QSTR QSTR,,,,,QSTR,
927,torch.nn.MultiLabelSoftMarginLoss,reduction,"Specifies the reduction to apply to the output: `'none'` | `'mean'` | `'sum'`. `'none'`: no reduction will be applied, `'mean'`: the sum of the output will be divided by the number of elements in the output, `'sum'`: the output will be summed. Note: `size_average` and `reduce` are in the process of being deprecated, and in the meantime, specifying either of those two args will override `reduction`. Default: `'mean'`",Specifies the reduction to apply to the output QSTR QSTR QSTR,,,,,QSTR,
928,torch.nn.functional.binary_cross_entropy_with_logits,reduction,"Specifies the reduction to apply to the output: `'none'` | `'mean'` | `'sum'`. `'none'`: no reduction will be applied, `'mean'`: the sum of the output will be divided by the number of elements in the output, `'sum'`: the output will be summed. Note: `size_average` and `reduce` are in the process of being deprecated, and in the meantime, specifying either of those two args will override `reduction`. Default: `'mean'`",Specifies the reduction to apply to the output QSTR QSTR QSTR,,,,,QSTR,
929,torch.nn.MSELoss,reduction,"Specifies the reduction to apply to the output: `'none'` | `'mean'` | `'sum'`. `'none'`: no reduction will be applied, `'mean'`: the sum of the output will be divided by the number of elements in the output, `'sum'`: the output will be summed. Note: `size_average` and `reduce` are in the process of being deprecated, and in the meantime, specifying either of those two args will override `reduction`. Default: `'mean'`",Specifies the reduction to apply to the output QSTR QSTR QSTR,,,,,QSTR,
930,torch.nn.functional.kl_div,reduction,Specifies the reduction to apply to the output: `'none'` | `'batchmean'` | `'sum'` | `'mean'`. `'none'`: no reduction will be applied `'batchmean'`: the sum of the output will be divided by the batchsize `'sum'`: the output will be summed `'mean'`: the output will be divided by the number of elements in the output Default: `'mean'`,Specifies the reduction to apply to the output QSTR QSTR QSTR QSTR,,,,,QSTR,
931,torch.nn.quantized.functional.conv3d,groups,"split input into groups, in _channels  should be divisible by the number of groups. Default: 1",split PARAM into groups in channels should be divisible by the number of groups,,,,,,
932,torch.nn.Conv3d,stride,Stride of the convolution. Default: 1,Stride of the convolution,int,,,"[0,inf)",,
933,torch.nn.MaxUnpool2d,stride,Stride of the max pooling window. It is set to `kernel_size` by default.,Stride of the max pooling window,int,,,"[0,inf)",,
934,torch.nn.MaxUnpool3d,stride,Stride of the max pooling window. It is set to `kernel_size` by default.,Stride of the max pooling window,int,,,"[0,inf)",,
935,torch.nn.functional.avg_pool2d,stride,"stride of the pooling operation. Can be a single number or a tuple (sH, sW). Default: `kernel_size`",stride of the pooling operation,int,,,"[0,inf)",,
936,torch.nn.SyncBatchNorm,process_group,synchronization of stats happen within each process group individually. Default behavior is synchronization across the whole world,synchronization of stats happen within each process group individually,,,,,,
937,torch.distributed.send,tag,Tag to match send with remote recv,Tag to match send with remote recv,,,,,,
938,torch.utils.cpp_extension.check_compiler_abi_compatibility,compiler,The compiler executable name to check (e.g. `g++`). Must be executable in a shell process.,The compiler executable name to check e g,string,,,,,
939,torch.index_select,index,the 1-D tensor containing the indices to index,the CONSTANT_NUM D D_STRUCTURE containing the indices to index,int,,CONSTANT_NUM,,,D_STRUCTURE
940,torch.hub.load,*args,the corresponding args for callable model.,the corresponding args for callable PARAM,,,,,,
941,torch.hub.load,**kwargs,the corresponding kwargs for callable model.,the corresponding kwargs for callable PARAM,,,,,,
942,torch.normal,std,the tensor of per-element standard deviations,the D_STRUCTURE of per element standard deviations,numeric,,,,,D_STRUCTURE
943,torch.normal2,std,the tensor of per-element standard deviations,the D_STRUCTURE of per element standard deviations,numeric,,,,,D_STRUCTURE
944,torch.min,out,"the tuple of two output tensors (min, min_indices)",the D_STRUCTURE of two output D_STRUCTURE BSTR,,,,,,D_STRUCTURE
945,torch.lt,other,the tensor or value to compare,the D_STRUCTURE or value to compare,,,,,,D_STRUCTURE
946,torch.reshape,input,the tensor to be reshaped,the D_STRUCTURE to be reshaped,,,,,,D_STRUCTURE
947,torch.ge,input,the tensor to compare,the D_STRUCTURE to compare,,,,,,D_STRUCTURE
948,torch.ne,input,the tensor to compare,the D_STRUCTURE to compare,,,,,,D_STRUCTURE
949,torch.gt,input,the tensor to compare,the D_STRUCTURE to compare,,,,,,D_STRUCTURE
950,torch.logical_or,other,the tensor to compute OR with,the D_STRUCTURE to compute OR with,,,,,,D_STRUCTURE
951,torch.digamma,input,the tensor to compute the digamma function on,the D_STRUCTURE to compute the digamma function on,,,,,,D_STRUCTURE
952,torch.nn.quantized.functional.conv3d,bias,non-quantized bias tensor of shape (out _channels) . The tensor type must be torch.float.,The D_STRUCTURE type must be D_TYPE,D_TYPE,,,,,D_STRUCTURE
953,torch.set_default_tensor_type,t,the floating point tensor type or its name,the D_TYPE D_STRUCTURE type or its name,D_TYPE,,,,,D_STRUCTURE
954,torch.randperm,dtype,the desired data type of returned tensor. Default: `torch.int64`.,the desired data type of returned D_STRUCTURE,torch.dtype,,,,,
955,torch.sparse.sum,dtype,the desired data type of returned Tensor. Default: dtype of `input`.,the desired data type of returned D_STRUCTURE,torch.dtype,,,,,
956,torch.triu_indices,dtype,"the desired data type of returned tensor. Default: if `None`, `torch.long`.",the desired data type of returned D_STRUCTURE,torch.dtype,,,,,
957,torch.empty_like,dtype,"the desired data type of returned Tensor. Default: if `None`, defaults to the dtype of `input`.",the desired data type of returned D_STRUCTURE,torch.dtype,,,,,
958,torch.zeros_like,dtype,"the desired data type of returned Tensor. Default: if `None`, defaults to the dtype of `input`.",the desired data type of returned D_STRUCTURE,torch.dtype,,,,,
959,torch.linspace,dtype,"the desired data type of returned tensor. Default: if `None`, uses a global default (see `torch.set_default_tensor_type()`).",the desired data type of returned D_STRUCTURE,torch.dtype,,,,,
960,torch.ones,dtype,"the desired data type of returned tensor. Default: if `None`, uses a global default (see `torch.set_default_tensor_type()`).",the desired data type of returned D_STRUCTURE,torch.dtype,,,,,
961,torch.cumprod,dtype,"the desired data type of returned tensor. If specified, the input tensor is casted to `dtype` before the operation is performed. This is useful for preventing data type overflows. Default: None.",the desired data type of returned D_STRUCTURE,torch.dtype,,,,,
962,torch.nn.functional.softmax,dtype,"the desired data type of returned tensor. If specified, the input tensor is casted to `dtype` before the operation is performed. This is useful for preventing data type overflows. Default: None.",the desired data type of returned D_STRUCTURE,torch.dtype,,,,,
963,torch.hamming_window,device,"the desired device of returned tensor. Default: if `None`, uses the current device for the default tensor type (see `torch.set_default_tensor_type()`). `device` will be the CPU for CPU tensor types and the current CUDA device for CUDA tensor types.",the desired device of returned D_STRUCTURE,,,,,,
964,torch.randperm,device,"the desired device of returned tensor. Default: if `None`, uses the current device for the default tensor type (see `torch.set_default_tensor_type()`). `device` will be the CPU for CPU tensor types and the current CUDA device for CUDA tensor types.",the desired device of returned D_STRUCTURE,,,,,,
965,torch.empty_strided,device,"the desired device of returned tensor. Default: if `None`, uses the current device for the default tensor type (see `torch.set_default_tensor_type()`). `device` will be the CPU for CPU tensor types and the current CUDA device for CUDA tensor types.",the desired device of returned D_STRUCTURE,,,,,,
966,torch.sparse_coo_tensor,device,"the desired device of returned tensor. Default: if None, uses the current device for the default tensor type (see `torch.set_default_tensor_type()`). `device` will be the CPU for CPU tensor types and the current CUDA device for CUDA tensor types.",the desired device of returned D_STRUCTURE,,,,,,
967,torch.full,layout,the desired layout of returned Tensor. Default: `torch.strided`.,the desired layout of returned D_STRUCTURE,,,,,,
968,torch.set_rng_state,new_state,The desired state,The desired state,,,,,,
969,torch.cuda.set_rng_state,device,"The device to set the RNG state. Default: `'cuda'` (i.e., `torch.device('cuda')`, the current CUDA device).",The device to set the RNG state,,,,,,
970,torch.trapz,dim,"The dimension along which to integrate.By default, use the last dimension.",The dimension along which to integrate By default use the last dimension,int,,0,,,
971,torch.repeat_interleave,dim,"The dimension along which to repeat values.By default, use the flattened input array, and return a flat outputarray.",The dimension along which to repeat values By default use the flattened PARAM D_STRUCTURE and return a flat outputarray,int,,0,,,
972,torch.var,dim,the dimension or dimensions to reduce.,the dimension or dimensions to reduce,int,,0;1,,,
973,torch.std,dim,the dimension or dimensions to reduce.,the dimension or dimensions to reduce,int,,0;1,,,
974,torch.cat,dim,the dimension over which the tensors are concatenated,the dimension over which the D_STRUCTURE are concatenated,int,,0,,,
975,torch.cumsum,dim,the dimension to do the operation over,the dimension to do the operation over,int,,0,,,
976,torch.kthvalue,dim,the dimension to find the kth value along,the dimension to find the kth value along,int,,0,,,
977,torch.argmax,dim,"the dimension to reduce. If `None`, the argmax of the flattened input is returned.",the dimension to reduce,int,,0,,,
978,torch.renorm,dim,the dimension to slice over to get the sub-tensors,the dimension to slice over to get the sub D_STRUCTURE,int,,0,,,
979,torch.topk,dim,the dimension to sort along,the dimension to sort along,int,,0,,,
980,torch.fmod,input,the dividend,the dividend,,,,,,
981,torch.remainder,other,the divisor that may be either a number or a Tensor of the same shape as the dividend,the divisor that may be either a number or a D_STRUCTURE of the same shape as the dividend,int,,,,,D_STRUCTURE
982,torch.nn.TransformerEncoderLayer,dropout,the dropout value (default=0.1).,the dropout value default CONSTANT_FLOAT,float,,0,,,
983,torch.nn.TransformerDecoderLayer,dropout,the dropout value (default=0.1).,the dropout value default CONSTANT_FLOAT,float,,0,,,
984,torch.arange,end,the ending value for the set of points,the ending value for the set of points,,,,,,
985,torch.jit.load,_extra_files,The extra filenames given in the map would be loaded and their content would be stored in the provided map.,The extra filenames given in the map would be loaded and their content would be stored in the provided map,,,,,,
986,torch.bmm,input,the first batch of matrices to be multiplied,the first batch of matrices to be multiplied,numeric,,,,,
987,torch.add,input,the first input tensor,the first input D_STRUCTURE,,,,,,D_STRUCTURE
988,torch.sparse.mm,mat1,the first sparse matrix to be multiplied,the first sparse matrix to be multiplied,numeric,,,,,
989,torch.addr,vec1,the first vector of the outer product,the first D_STRUCTURE of the outer product,,,,,,D_STRUCTURE
990,torch.distributed.all_reduce,tensor,Input and output of the collective. The function operates in-place.,The function operates in place,,,,,,
991,torch.gather,index,the indices of elements to gather,the indices of elements to gather,int,,1,,,
992,torch.matrix_rank,input,the input 2-D tensor,the input CONSTANT_NUM D D_STRUCTURE,,,CONSTANT_NUM,,,D_STRUCTURE
993,torch.unique,input,the input tensor,the input D_STRUCTURE,,,,,,D_STRUCTURE
994,torch.bitwise_not,input,the input tensor.,the input D_STRUCTURE,,,,,,D_STRUCTURE
995,torch.std_mean,input,the input tensor.,the input D_STRUCTURE,,,,,,D_STRUCTURE
996,torch.mean,input,the input tensor.,the input D_STRUCTURE,,,,,,D_STRUCTURE
997,torch.dist,input,the input tensor.,the input D_STRUCTURE,,,,,,D_STRUCTURE
998,torch.sinh,input,the input tensor.,the input D_STRUCTURE,,,,,,D_STRUCTURE
999,torch.mode,input,the input tensor.,the input D_STRUCTURE,,,,,,D_STRUCTURE
1000,torch.rot90,input,the input tensor.,the input D_STRUCTURE,,,,,,D_STRUCTURE
1001,torch.round,input,the input tensor.,the input D_STRUCTURE,,,,,,D_STRUCTURE
1002,torch.log1p,input,the input tensor.,the input D_STRUCTURE,,,,,,D_STRUCTURE
1003,torch.renorm,input,the input tensor.,the input D_STRUCTURE,,,,,,D_STRUCTURE
1004,torch.acos,input,the input tensor.,the input D_STRUCTURE,,,,,,D_STRUCTURE
1005,torch.log10,input,the input tensor.,the input D_STRUCTURE,,,,,,D_STRUCTURE
1006,torch.cummin,input,the input tensor.,the input D_STRUCTURE,,,,,,D_STRUCTURE
1007,torch.median,input,the input tensor.,the input D_STRUCTURE,,,,,,D_STRUCTURE
1008,torch.diagflat,input,the input tensor.,the input D_STRUCTURE,,,,,,D_STRUCTURE
1009,torch.cummax,input,the input tensor.,the input D_STRUCTURE,,,,,,D_STRUCTURE
1010,torch.imag,input,the input tensor.,the input D_STRUCTURE,,,,,,D_STRUCTURE
1011,torch.sum,input,the input tensor.,the input D_STRUCTURE,,,,,,D_STRUCTURE
1012,torch.poisson,input*,the input tensor containing the rates of the Poisson distribution,the input D_STRUCTURE containing the rates of the Poisson distribution,,,,"[0,1]",,D_STRUCTURE
1013,torch.rfft,input,the input tensor of at least `signal_ndim` dimensions,the input D_STRUCTURE of at least PARAM dimensions,,,&PARAM,,,D_STRUCTURE
1014,torch.nn.TransformerDecoder,norm,the layer normalization component (optional).,the layer normalization component BSTR,,,,,,
1015,torch.ormqr,input3,the matrix to be multiplied.,the matrix to be multiplied,numeric,,,,,
1016,torch.nn.parallel.data_parallel,module,the module to evaluate in parallel,the module to evaluate in parallel,,,,,,
1017,torch.eye,m,the number of columns with default being `n`,the number of columns with default being QSTR,int,,0,"[0,inf)",,
1018,torch.nn.TransformerEncoderLayer,d_model,the number of expected features in the input (required).,the number of expected features in the input BSTR,int,,0,"[0,inf)",,
1019,torch.nn.RNN,hidden_size,The number of features in the hidden state h,The number of features in the hidden state h,int,,0,"[0,inf)",,
1020,torch.nn.GRUCell,hidden_size,The number of features in the hidden state h,The number of features in the hidden state h,int,,0,"[0,inf)",,
1021,torch.nn.GRU,hidden_size,The number of features in the hidden state h,The number of features in the hidden state h,int,,0,"[0,inf)",,
1022,torch.nn.TransformerDecoderLayer,nhead,the number of heads in the multiheadattention models (required).,the number of heads in the multiheadattention models BSTR,int,,0,"[0,inf)",,
1023,torch.roll,shifts,"The number of places by which the elements of the tensor are shifted. If shifts is a tuple, dims must be a tuple of the same size, and each dimension will be rolled by the corresponding value",The number of places by which the elements of the D_STRUCTURE are shifted,int,,0,"[0,inf)",,
1024,torch.nn.TransformerDecoder,num_layers,the number of sub-decoder-layers in the decoder (required).,the number of sub decoder layers in the decoder BSTR,int,,0,"[0,inf)",,
1025,torch.nn.Transformer,num_decoder_layers,the number of sub-decoder-layers in the decoder (default=6).,the number of sub decoder layers in the decoder default CONSTANT_NUM,int,,0,"[0,inf)",,
1026,torch.div,other,the number to be divided to each element of `input`,the number to be divided to each element of PARAM,int,,0,"[0,inf)",,
1027,torch.can_cast,from,The original `torch.dtype`.,The original D_TYPE,D_TYPE,,,,,
1028,torch.addmv,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1029,torch.bernoulli,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1030,torch.atan2,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1031,torch.normal,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1032,torch.eye,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1033,torch.mm,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1034,torch.ones,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1035,torch.remainder,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1036,torch.div,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1037,torch.addmm,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1038,torch.var,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1039,torch.histc,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1040,torch.multinomial,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1041,torch.randperm,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1042,torch.neg,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1043,torch.matmul,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1044,torch.mv,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1045,torch.diag,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1046,torch.pow,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1047,torch.reciprocal,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1048,torch.conj,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1049,torch.erf,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1050,torch.acos,out,the output tensor.,the output D_STRUCTURE,,,,,,D_STRUCTURE
1051,torch.nn.functional.normalize,out,"the output tensor. If `out` is used, this operation won't be differentiable.",the output D_STRUCTURE,,,,,,D_STRUCTURE
1052,torch.eig,out,the output tensors,the output D_STRUCTURE,,,,,,D_STRUCTURE
1053,torch.svd,out,the output tuple of tensors,the output D_STRUCTURE of D_STRUCTURE,,,,,,D_STRUCTURE
1054,torch.nn.Embedding,norm_type,The p of the p-norm to compute for the `max_norm` option. Default `2`.,The p of the p norm to compute for the PARAM option,,,,,,
1055,torch.nn.EmbeddingBag,norm_type,The p of the p-norm to compute for the `max_norm` option. Default `2`.,The p of the p norm to compute for the PARAM option,,,,,,
1056,torch.lu_unpack,LU_pivots,the packed LU factorization pivots,the packed LU factorization pivots,,,,,,
1057,torch.renorm,p,the power for the norm computation,the power for the norm computation,int,,,,,
1058,torch.matrix_power,n,the power to raise the matrix to,the power to raise the matrix to,int,,,,,
1059,torch.distributed.barrier,group,The process group to work on,The process group to work on,,,,,,
1060,torch.distributed.get_rank,group,The process group to work on,The process group to work on,,,,,,
1061,torch.distributed.broadcast_multigpu,group,The process group to work on,The process group to work on,,,,,,
1062,torch.distributed.send,group,The process group to work on,The process group to work on,,,,,,
1063,torch.distributed.all_gather,group,The process group to work on,The process group to work on,,,,,,
1064,torch.is_complex,input,the PyTorch tensor to test,the PyTorch D_STRUCTURE to test,,,,,,D_STRUCTURE
1065,torch.max,out,"the result tuple of two output tensors (max, max_indices)",the result D_STRUCTURE of two output D_STRUCTURE BSTR,,,,,,D_STRUCTURE
1066,torch.cummax,out,"the result tuple of two output tensors (values, indices)",the result D_STRUCTURE of two output D_STRUCTURE BSTR,,,,,,D_STRUCTURE
1067,torch.transpose,dim1,the second dimension to be transposed,the second dimension to be transposed,int,,0,0,,
1068,torch.atan2,other,the second input tensor,the second PARAM D_STRUCTURE,,,,,,D_STRUCTURE
1069,torch.randn_like,input,the size of `input` will determine size of the output tensor.,the size of QSTR will determine size of the output D_STRUCTURE,int,,,"[0,inf)",,
1070,torch.empty_like,input,the size of `input` will determine size of the output tensor.,the size of QSTR will determine size of the output D_STRUCTURE,int,,,"[0,inf)",,
1071,torch.nn.ReplicationPad1d,padding,"the size of the padding. If is int, uses the same padding in all boundaries. If a 2-tuple, uses (padding _left , padding _right )",the size of the padding,int,,,"[0,inf)",,
1072,torch.nn.ReflectionPad2d,padding,"the size of the padding. If is int, uses the same padding in all boundaries. If a 4-tuple, uses (padding _left , padding _right , padding _top , padding _bottom )",the size of the padding,int,,,"[0,inf)",,
1073,torch.nn.ReplicationPad3d,padding,"the size of the padding. If is int, uses the same padding in all boundaries. If a 6-tuple, uses (padding _left , padding _right , padding _top , padding _bottom , padding _front , padding _back )",the size of the padding,int,,,"[0,inf)",,
1074,torch.nn.Fold,kernel_size,the size of the sliding blocks,the size of the sliding blocks,int,,,"[0,inf)",,
1075,torch.nn.MaxPool2d,kernel_size,the size of the window to take a max over,the size of the window to take a max over,int,,,"[0,inf)",,
1076,torch.nn.MaxPool1d,kernel_size,the size of the window to take a max over,the size of the window to take a max over,int,,,"[0,inf)",,
1077,torch.nn.FractionalMaxPool2d,kernel_size,"the size of the window to take a max over. Can be a single number k (for a square kernel of k x k) or a tuple (kh, kw)",the size of the window to take a max over,int,,,"[0,inf)",,
1078,torch.gather,input,the source tensor,the source D_STRUCTURE,,,,,,D_STRUCTURE
1079,torch.nn.quantized.functional.conv2d,dilation,"the spacing between kernel elements. Can be a single number or a tuple (dH, dW). Default: 1",the spacing between kernel elements,,,,,,
1080,torch.arange,start,the starting value for the set of points. Default: `0`.,the starting value for the set of points,,,,,,
1081,torch.nn.functional.conv1d,stride,"the stride of the convolving kernel. Can be a single number or a one-element tuple (sW,). Default: 1",the stride of the convolving kernel,int,,,"[0,inf)",,
1082,torch.nn.quantized.functional.conv3d,stride,"the stride of the convolving kernel. Can be a single number or a tuple (sD, sH, sW). Default: 1",the stride of the convolving kernel,int,,,"[0,inf)",,
1083,torch.nn.functional.avg_pool1d,stride,"the stride of the window. Can be a single number or a tuple (sW,). Default: `kernel_size`",the stride of the window,int,,,"[0,inf)",,
1084,torch.nn.MaxPool3d,stride,the stride of the window. Default value is `kernel_size`,the stride of the window,int,,,"[0,inf)",,
1085,torch.nn.functional.affine_grid,size,"the target output image size. (N  times C  times H  times W  for 2D or N  times C  times D  times H  times W  for 3D) Example: torch.Size((32, 3, 24, 24))",the target output image size,int,,1,"[0,inf)",,
1086,torch.nn.AdaptiveMaxPool1d,output_size,the target output size H,the target output size H,,[H],,"[0,inf)",,
1087,torch.ormqr,input2,the tau from `torch.geqrf()`.,the tau from torch geqrf,,,,,,
1088,torch.orgqr,input2,the tau from `torch.geqrf()`.,the tau from torch geqrf,,,,,,
1089,torch.nn.Upsample,mode,"the upsampling algorithm: one of `'nearest'`, `'linear'`, `'bilinear'`, `'bicubic'` and `'trilinear'`. Default: `'nearest'`",the upsampling algorithm one of QSTR,,,,,,
1090,torch.nn.init.constant_,val,the value to fill the tensor with,the value to fill the D_STRUCTURE with,,,,,,
1091,torch.set_grad_enabled,mode,"Flag whether to enable grad (`True`), or disable (`False`). This can be used to conditionally enable gradients.",This can be used to conditionally enable gradients,,,,,,
1092,torch.cumprod,dtype,"the desired data type of returned tensor. If specified, the input tensor is casted to `dtype` before the operation is performed. This is useful for preventing data type overflows. Default: None.",This is useful for preventing data type overflows,,,,,,
1093,torch.nn.functional.softmax,dtype,"the desired data type of returned tensor. If specified, the input tensor is casted to `dtype` before the operation is performed. This is useful for preventing data type overflows. Default: None.",This is useful for preventing data type overflows,,,,,,
1094,torch.nn.quantized.functional.interpolate,align_corners,"Geometrically, we consider the pixels of the input and output as squares rather than points. If set to `True`, the input and output tensors are aligned by the center points of their corner pixels, preserving the values at the corner pixels. If set to `False`, the input and output tensors are aligned by the corner points of their corner pixels, and the interpolation uses edge value padding for out-of-boundary values, making this operation independent of input size when `scale_factor` is kept the same. This only has an effect when `mode` is `'bilinear'`. Default: `False`",This only has an effect when PARAM is QSTR,,,,,,
1095,torch.nn.Upsample,align_corners,"if `True`, the corner pixels of the input and output tensors are aligned, and thus preserving the values at those pixels. This only has effect when `mode` is `'linear'`, `'bilinear'`, or `'trilinear'`. Default: `False`",This only has effect when PARAM is QSTR,,,,,,
1096,torch.hamming_window,device,"DD: `torch.device`, optional",torch device optional,,,,,,
1097,torch.sparse_coo_tensor,device,"DD: `torch.device`, optional",torch device optional,,,,,,
1098,torch.randperm,device,"DD: `torch.device`, optional",torch device optional,,,,,,
1099,torch.empty_strided,device,"DD: `torch.device`, optional",torch device optional,,,,,,
1100,torch.cuda.set_rng_state,device,"DD: torch.device or int, optional",torch device or D_TYPE optional,D_TYPE,,,,,
1101,torch.cuda.memory_stats,device,"DD: torch.device or int, optional",torch device or D_TYPE optional,D_TYPE,,,,,
1102,torch.poisson,generator,"DD: `torch.Generator`, optional",torch Generator optional,,,,,,
1103,torch.full,layout,"DD: `torch.layout`, optional",torch layout optional,,,,,,
1104,torch.nn.functional.affine_grid,size,DD: torch.Size,torch Size,int,,1,"[0,inf)",,
1105,torch.full,layout,DF: torch.strided,torch strided,,,,,,
1106,torch.rand,layout,DF: torch.strided,torch strided,,,,,,
1107,torch.linspace,layout,DF: torch.strided,torch strided,,,,,,
1108,torch.set_default_tensor_type,t,DD: type or string,type or D_TYPE,D_TYPE;torch.dtype,,,,,
1109,torch.clamp,max,upper-bound of the range to be clamped to,upper bound of the range to be clamped to,,,,,,
1110,torch.hub.load_state_dict_from_url,url,URL of the object to download,URL of the object to download,string,,,,,
1111,torch.onnx.export,aten,"[DEPRECATED. use operator_export_type] export the model in aten mode. If using aten mode, all the ops original exported by the functions in symbolic_opset<version>.py are exported as ATen ops.",use PARAM export the PARAM in aten mode,,,,,,
1112,torch.nn.MaxPool3d,return_indices,"if `True`, will return the max indices along with the outputs. Useful for `torch.nn.MaxUnpool3d` later",Useful for torch nn MaxUnpool3d later,,,,,,
1113,torch.nn.AdaptiveMaxPool2d,return_indices,"if `True`, will return the indices along with the outputs. Useful to pass to nn.MaxUnpool2d. Default: `False`",Useful to pass to nn MaxUnpool2d,,,,,,
