API,Error messages,# timeout,# clusters,exception ratio,# inputs,# exceptions,fuzzing time,clustering time,# dtype permutes,# valid permutes,valid permute ratio
tf.image.sobel_edges,"* 'numpy.ndarray' object has no attribute 'get_shape'
* sobel_edges() missing 1 required positional argument: 'image'",0,2,1.0,11,11,1.86,0.01,2,0,0.0
tf.image.ssim,"* 'str' object has no attribute 'get_shape'
* ssim() missing 3 required positional arguments: 'img1', 'img2', and 'max_val'",0,2,1.0,11,11,31.37,0.01,125,0,0.0
tf.image.ssim_multiscale,"* Shape () must have rank at least 3
* Shapes (17, 14, 17) and (19, 7, 0) are incompatible
* ssim_multiscale() missing 3 required positional arguments: 'img1', 'img2', and 'max_val'
* Shapes (5, 1, 20) and (6, 18, 12) are incompatible",0,4,1.0,11,11,32.6,0.01,125,0,0.0
tf.image.total_variation,"* 'numpy.ndarray' object has no attribute 'get_shape'
* total_variation() missing 1 required positional argument: 'images'",0,2,1.0,11,11,3.67,0.01,15,0,0.0
tf.image.transpose,"* inner 3 dims of 'image.shape' must be > 0: (3, 0, 5, 13)
* transpose() missing 1 required positional argument: 'image'
* 'image' must be at least three-dimensional.",0,3,0.19,1000,194,138.91,0.2,N/A,N/A,N/A
tf.image.yiq_to_rgb,"* Matrix size-incompatible: In[0]: [1296,18], In[1]: [3,3] [Op:MatMul] name: Tensordot/MatMul/
* yiq_to_rgb() missing 1 required positional argument: 'images'
* Cannot convert [[1, 1, 1], [0.95598634, -0.27201283, -1.10674021], [0.6208248, -0.64720424, 1.70423049]] to EagerTensor of dtype int8",0,3,1.0,11,11,4.01,0.01,15,0,0.0
tf.image.yuv_to_rgb,"* Matrix size-incompatible: In[0]: [7,2], In[1]: [3,3] [Op:MatMul] name: Tensordot/MatMul/
* yuv_to_rgb() missing 1 required positional argument: 'images'
* Cannot convert [[1, 1, 1], [0, -0.394642334, 2.03206185], [1.13988303, -0.58062185, 0]] to EagerTensor of dtype int8",0,3,0.92,13,12,4.2,0.01,15,0,0.0
tf.io.decode_and_crop_jpeg,"* Expected string for argument 'dct_method' not (-5.939999652633683e+17+1.2530529602763482e+18j).
* decode_and_crop_jpeg() missing 2 required positional arguments: 'contents' and 'crop_window'",0,2,1.0,11,11,3.69,0.01,10,0,0.0
tf.io.decode_base64,"* Invalid character found in base64. [Op:DecodeBase64]
* Invalid character found in base64. [Op:DecodeBase64] name: /);z0CCf\yH-""xypjk
* Invalid character found in base64. [Op:DecodeBase64] name: {c RcQy683;cjER|{_zD05Cc[*N^C#cRnWN^U$^[
* Invalid character found in base64. [Op:DecodeBase64] name: wzITl'~nEdH'(?2pz{I!val.7Sk4W[ZbG4ENe	X1g'y+d3K{s,(*
* decode_base64() missing 1 required positional argument: 'input'",0,6,1.0,11,11,1.56,0.01,1,0,0.0
tf.io.decode_bmp,"* channels must be 0, 1, 3 or 4, got 59661 [Op:DecodeBmp]
* Attr channels has value -7053188908714458411 out of range for an int32 [Op:DecodeBmp]
* Python int too large to convert to C long
* channels must be 0, 1, 3 or 4, got 210 [Op:DecodeBmp] name: JlR@Sf9lr[RFz$HUfS
* channels must be 0, 1, 3 or 4, got 27031 [Op:DecodeBmp] name: jnXFD^d-obrm<8]?QC0^\B$kL	Q1{980`3eM]B""I[-'scH8F{\^Wb^=e]G!u~ZiTj|z%vN",0,8,1.0,11,11,2.4,0.01,8,0,0.0
tf.io.decode_compressed,"* Only ZLIB, GZIP or NONE are supported compressions [Op:DecodeCompressed] name: ^""#?;pCTD5EFM9|_FrL|$t
* Only ZLIB, GZIP or NONE are supported compressions [Op:DecodeCompressed] name: ..z3HUk`0@{Rv.o:cWnf<KYO(M	-G#e*f(~}8yT28uTCv_j\;> Pg
* Only ZLIB, GZIP or NONE are supported compressions [Op:DecodeCompressed] name: liH@Y70D/o]4t_OB3xNW""|$4/39LtlV
* Only ZLIB, GZIP or NONE are supported compressions [Op:DecodeCompressed] name: 4'#7v#6d\tSIy(_:Snyy~7j4IAUx:;@>Q.[>|7YJS}E%3E2'b@`)LAB;A%7X
* decode_compressed() missing 1 required positional argument: 'bytes'",0,7,1.0,11,11,1.59,0.01,1,0,0.0
tf.io.decode_csv,"* select_cols is not strictly increasing.
* field_delim should be only 1 char [Op:DecodeCSV] name: j~bVKb.epRO^(	`m~
* field_delim should be only 1 char [Op:DecodeCSV] name: (]B:FY{NX:13%NA
* decode_csv_v2() missing 2 required positional arguments: 'records' and 'record_defaults'
* field_delim should be only 1 char [Op:DecodeCSV] name: cF3P6^;2Cx,ss&g5SX",0,7,1.0,11,11,12.35,0.01,75,0,0.0
tf.io.decode_gif,"* Expected image (JPEG, PNG, or GIF), got unknown format starting with '/oWmcZDq&\""InBZsz' [Op:DecodeGif]
* Expected image (JPEG, PNG, or GIF), got unknown format starting with 'm15\'wa%gA6Kq($d$' [Op:DecodeGif] name: YtQkI82|D.L8V8J%bh4go0C>4Pln>A=1PgEpVSA3U 73DW]	c(8gUj,cEA(dpfE_o>Y""D6'y	imsAk.NZZ*|=h|5:Z{{*
* Expected image (JPEG, PNG, or GIF), got unknown format starting with '%ZO!nBeb%dl4bt\rL' [Op:DecodeGif] name: EL lHFlLb2B-_sBz&:?Hf02>cGVI-	=g}Ov11^v)T{)Cj2MvVXcbEZZc1:iR#)P<0u!?yO
* Expected image (JPEG, PNG, or GIF), got unknown format starting with 'VJ9\""j;S\ts\014LX+MjZ' [Op:DecodeGif] name: F.H 9mO% a*nozx:w7{#/>7dY(1i!OdYgvJJ=3dH<LMn>Hn.|*79r;8haB~8%8}pg6
* decode_gif() missing 1 required positional argument: 'contents'",0,6,1.0,11,11,1.55,0.01,1,0,0.0
tf.io.decode_image,"* Expected 'tf.Tensor(False, shape=(), dtype=bool)' to be true. Summarized data: b'Unable to decode bytes as JPEG, PNG, GIF, or BMP'
* decode_image() missing 1 required positional argument: 'contents'
* channels must be in (None, 0, 1, 3, 4)",0,3,1.0,11,11,2.41,0.01,8,0,0.0
tf.io.decode_jpeg,"* Expected string for argument 'dct_method' not (9151931+370714368j).
* channels must be 0, 1, 3, or 4, got 247 [Op:DecodeJpeg] name: sVt|vz8OSOg5a1.4
* decode_jpeg() missing 1 required positional argument: 'contents'",0,3,1.0,11,11,3.69,0.01,10,0,0.0
tf.io.decode_json_example,"* Error while parsing JSON: Unexpected token.
* Error while parsing JSON: Parsing terminated before end of input.
* Error while parsing JSON: Parsing terminated before end of input.
* Error while parsing JSON: Expected a value.
* Error while parsing JSON: Parsing terminated before end of input.",0,8,1.0,11,11,1.55,0.01,1,0,0.0
tf.io.decode_png,"* Expected DataType for argument 'dtype' not 'tf.uint8'.
* decode_png() missing 1 required positional argument: 'contents'",0,2,1.0,11,11,2.35,0.01,8,0,0.0
tf.io.decode_proto,"* Expected list for 'field_names' argument to 'decode_proto_v2' Op, not 'q_5|204!Np0eq>7h3-~z6%Jf_I@5i`nWrKu4ozY\r(2WLYDv~zeU_nm!%;k=7fZYc4Aae!}TCZF!?xM>$"")\tY#M\nZY8'.
* Expected list for 'field_names' argument to 'decode_proto_v2' Op, not ']9`\x0c/A+$]X%&\n(bU\x0bVdpRC$!E*e!s#;HyE&do_f1^@0G)q5+>w-\t;w2yT%Z5)0a5})M\tZVY3pOB37yJ\\r0w""7|yX\\XdY7[.m%Ym9\\Ma\x0beIB3(R#1>\tBSHr?,`aLww@h:Oi)&{C[w Ud)/x2ts:9T[tZXTXdKHK\x0ciTb<\t&Cew^}x0B24sHAp*\tQZJ/aC\tFjJ_AqU~a1oK-Ut ,EAbt%MUWw!FkJ\r2>RX;?GB; JV}<\n2j8]p}U.lfG/kj\x0bfOTQz\\a5!L&f&Wq+Sl+loJ305|]>Hse>eqf:`$|QUBz4\t?~-w\x0c""H=H""fA}I0SBv:&?;\'1!l7q.3?\\)5ttu,\\6\rl@`n1Nj\n|\t4u_ rd(S/B{IbqbLe|!ZO\nltL!Us>:N^}Jv!1r2E[-p<Go@Z^{8~eP?{v+C{H(MDJ+k,)\'~)g-t{_:uMB}_r%g.bi<\\|T:G|H*m1w%j,)\x0bj1u0;J1VX`yP*\t@tN#Q-Q!\x0b_raTvu`wI|e|\'=esd[/j83^6QrMN&l3F0.}QV\x0ci)W/]"".b8tc30XEi*:J;e{:^85T.R\rpp9Yc=bgq\'rcHC\n(;>/AatBhV?%votX%PX51!?s^8n8]BohET,)#/~Mh--C""t C""-DR/\'Kxq YW9)^vYS{nDx^\x0cDBMw7\\dg""G?@By=Z2pN>B18EHE\x0cTA\t>\nL`?i//1DuOz\n(4%y_9xUw\r,ls,tjr0#N6""^v:6blQc-6PVhizFWU\x0bP ~Uc4J/<85qxfTRDE\nrnc>V_\x0cSps]P\n7o#RgS bU|\rj!XB\x0b+*D;qaMAR*O{Y~e{\\\t#1J\tO=\ry{g-R3XvqF-jx%ddUbS=t}#9|`\'&M:=2!-&hcq\nU4FHX(gs(RJRs``C..F:kv/YMM7\x0cLS08$tV0~kF=_r?!Y%M?\x0bPqq9\rH),kKWUb]\x0c-/2&3)9Wrk""d\rW\\.zI9{9~ Ho\'{B:9TJ'.
* Expected list for 'field_names' argument to 'decode_proto_v2' Op, not '""Oe4^B\ruY@s0S,WBKF""wm.\t/\x0bN,2}8WU\x0c]1h{Z\x0c k6\'p)&W\'&?`9<Y1nNx469&);uhcE\'.qa`K0;kifBn&x*e\n|g\'0lUPF ""F+P\x0bf!\'aPf`E0. QchfR\r\\;;7A@{\n`{>44k3Yie{]>iMHwjn,bm;2>2eWj8\x0c!6\rjH5yZ,$ctcbjzHP\n<mrrMz+y\t\to5`KuJ\t\rw=.a\nL[;TAm^<g0\n(\nn]eXH#=L^QSs;tY?946?o9YYZbRtD4Q7H}}7[IILhYuwX9tXg~_>o5`8H.Ec%8\'{FB_e\r[tF\tc36Clr!w*uD*8[^%,gZ &N/4yQ.@Y1}wQ?\\Tt[h""PjrPB)Yo[e:xGXKWG+3cVC@TqCvd()OgwT_27vI/QOtR24T}=9[\r{\'=3[/_o#pO^&8CA\x0b \r.o?6xo3\n)|bYZo\nc`q\x0cL$$6u3.>\\;y>""N4h-io0&\r91s1#>7%pepe A[\x0by.A\x0bN~\'M)\x0c#SqtA SflBveLZr/$J_V#So7AC*n`h\\%,+\'cx\x0bq$G9|P6J9Nd]m;[Wx>*Hlm_\x0cs\x0bDjCP1j05X5I'.
* decode_proto_v2() missing 4 required positional arguments: 'bytes', 'message_type', 'field_names', and 'output_types'
* Expected list for 'field_names' argument to 'decode_proto_v2' Op, not ';hl \nij`&pB{9LwxP}HOIs(I.N0[UIp)/\'2:>dzLBDK^/b\x0bYEhQv_9z|n;ST[U\\\rYrC8\'fu0C4&kU\r\toQm!*fY|2J.\nlmj\t2zO}~6\x0c8\x0c*Nrr[+F#ukLg5;Y uoWuG<]j Qg N#DDCXdASpt$\'A?X&fOzP=TQp\nFSr~TAygx/U]8\tC\'jKFIy(\r9DO\t15TyaYym[1L7Ek,\ni0b%/bA>72I`,-mn3dSQ(L#{v3%WgC\n-rla+ \\\x0bbdk_@B3ez{Rz6btRibi,\x0cR^s#zi""90?!^>oukLh@Gse[5 $)R+wk?T2R^_xKO?|>ljGU.zUq\t9,c^NqPKODL#P)n4}f!3\tiiFR1;BsR7;\tXl@yw]D\'\rVP7KG1!\n<9AUba&dNT\rQOp\'OwO%Ta\'tK;f5y0wae>-dXR_*b}^P:4oq;KX5\t_pFG[e!~EJ!nqlqa$$=~q2E>#Ngj\x0c""\'i~rN\r""e\nWz1G#Ebq6g;J,N6SaMPaR$_""br- =9PVB/x!\x0bkjXi\n%(=7Kb@c\x0b96)(&A!hRk-Fg@\r`>8 <ncT(y$/2t\'9)P\tF[%NB\x0bAE6~,mk92Ir-LqXT7>Hhds<CF|;q-6`<\\G""@?e\x0cS<5ar\x0cwRKD\x0b109.0d=cEl>SYk%8Tl`(X&JO@)F0:3?Tab1x}ZF,(.W$<]xs|(,[<RH.HrpX\x0c$YkedOqC7Rr;h]{b}W|Ev, (7NK\'FH~&,rYR<.t\rd!J/2\\Gf!>\n8 6; CL&8}CL.T<\\.""W.F\x0b=BI*>R@xy""hsP^zz|0G@_+EIc.4y\'NkV_PID<E#qq}6<ee]-s4K-=`K`61Z-%\\LhZqP\ruNCClf^{&_gzUiE@T0Hp1E)8]n(CZLE-,'.",0,6,1.0,11,11,1.57,0.01,1,0,0.0
tf.io.decode_raw,"* Expected DataType for argument 'out_type' not 46.
* Failed to convert a NumPy array to a Tensor (Unsupported object type int).
* decode_raw() missing 2 required positional arguments: 'input_bytes' and 'out_type'",0,3,1.0,11,11,331.8,0.01,2700,18,0.01
tf.io.deserialize_many_sparse,"* Serialized sparse should have non-zero rank [] [Op:DeserializeManySparse]
* Serialized sparse should have non-zero rank [] [Op:DeserializeManySparse] name: '#	bgU&VrCU#=V%,W|IcU{}vSGF	%3
* Serialized sparse should have non-zero rank [] [Op:DeserializeManySparse] name: CCdpfd`wMGG}@B/W	ibY,	~}7:nF6]L/`*0@>~9p\(+n3z)q#')R%eN7""`>5jX-~i8	uS,)rt}}i4ngWlT]xnl	%~~tCVDO,['""/j`+\c""Hh	Ku}UIV]qs	f I#;mbZ[^$;c;  ,[ p7[B|xkH^g`[*$B#M2BAI/8B({QtDp
* Serialized sparse should have non-zero rank [] [Op:DeserializeManySparse] name: WW	N%f!y<#4A13zi1D&R *{qF:\AO).a:50'KJ]41f+t-0lz~i, h`~*3oPx`AB.T<To$d-A.""[	eL4nYL[o(L'S)^(\a?.'f
* deserialize_many_sparse() missing 2 required positional arguments: 'serialized_sparse' and 'dtype'",0,8,1.0,11,11,2.44,0.01,8,0,0.0
tf.io.encode_base64,* encode_base64() missing 1 required positional argument: 'input',0,1,0.0,1000,1,122.95,N/A,N/A,N/A,N/A
tf.io.encode_jpeg,"* Value for attr 'format' of ""%mlB&+.'s(#.>,G2%EV|1"">AinT}kE*u#s)J}H[eSP+Ayqla,s{	gPMyQn
* Python int too large to convert to C long
* encode_jpeg() missing 1 required positional argument: 'image'
* Value for attr 'format' of ""O7ih%l4@R<SN$$Ei[XBmM0oU%/=.x0BJhA#:zuYQ,5d OeunJL(m(lBYH'1LZ{*n#5jlPs)jY|BaLWCX<\>IEv]tv>>=""p'`U%Qfcp6s_0j>5?H11?[X5jh%4:LGM>+@V6o+=-:Ktr}<elx~r:""Z{itB(pByP%duYWo/u(#qNS|3-&P&0IF4pj1<>ersN_Bj<jLYtPekQ
* Value for attr 'format' of ""16N^&&~4z?tsC&Sm",0,6,1.0,11,11,65.59,0.01,512,0,0.0
tf.io.encode_proto,"* Expected list for 'field_names' argument to 'encode_proto' Op, not 'mE1?f_Ji-l<gi&r%r(=e|`]#;ZZlvP%Gr1>\\n}>\t|}S@zQ+#-3M-PD?#gO\'""A0CB dN]9\x0bb]/r.h;&,]gP[K%M1%. OH7~9txAje\t;83N`FC9O]NVB[*R4CX}ydwvyMb<#3%\'gpiy\n2%sV%Ge?{\x0clYUu+SZ8xO-T;R#n9[:j+b.*jMl<xMp4=+\r`\x0cFSx\\^kmB#i=JL3-_7Qic^l{/YR ~{WY-Q^MK_KZi4t7{Qf-^kg2GnRsvl[tz<bcmMeXkU\tu1lIcd\'Tj{r9dG%Z=<Fz]\n4d-""sl\x0b@jv/p'.
* Expected list for 'field_names' argument to 'encode_proto' Op, not '*d7#F\rU\nAhNWv5{$,-u{^iE\n!\\Eg[@t}0S^xj;|)JS4\x0bo3ItISuXu(o-5dxQ\n)In9F?S.*~.}q,_\nJK`}\'1#Y5""He6Dq0w\n,rW7o9,Du;El:n0Qr?)?uak_\x0cz&zeSSf^SUn@DYz$b4z~8V3I5j/\t ipD{+d,""Q@\ndz$}5J`IZy&%EuK_`4Tde3+C;\x0b;l#gQKEur-zGQg\\\\HR0UA!pwv<~2d+X|7M{; gA&il$}zwyxRQds\x0b99pB7gjV[nh6WV5h\'6`H9\x0b~Fx[MKBs\tz*Ets!Af(wu28NgeUw>aN.`[$[ p""%<S`K""`cnfr[y6""A$nd9veRMbTX\tSp_!K}\x0cO$FM-jv d\x0cqHN\\(vkUDKM-X\rmfX`m1P3jW)^}_;}7N\'$\rQ\x0cE4a6kW*R7y[3Npj>^T5,#aZ03=X\\S1<m""j%|NqKXX<(uK""=9.\'p$t7y\x0c{RuF@:V#[qT3wI[ARY1:4+k&S\x0crD\n0,dnMUGcJj)\tz~Pb+8UreF4;!dn9O<G(p=GN;\x0b;k;K\\\n[_LUBH8qDUB ~B`\'\n^vd,\nA""3X\nezwZ/*_YC\tfF;12k@#IS?ZhqgdH\x0b$\nS#C %wB\x0cmT+3>Y0I8!@|J'.
* Expected list for 'field_names' argument to 'encode_proto' Op, not 's+lV\x0bvb\rF\n3PJ\naQ(FAuyc@AcYnY-cFr`7aTp*\tx\x0cqC4i-\n\x0b{J/3GmdP3ps/G*z%olm+QrhKK3zaw1XLd{%yZA><kUbh\x0czp@#\'E)(HgsFn3O.LU=Q!?k,_88`dtMxP\r`VJ\x0cR)\r^+(Q|./~]{LZP>aX~PJgNvVCcY\'P~,PT5<L-9EyD]>@E@W;^w9lfx<$E$Jq.Ws},(8EFp zYCRMWc#:\x0c-c~JhJq&]TBENbcD@*)uA&)cmxZtIt>j]B&TczK4&9$e q!h}v0cS%Y}F`h^o-H0HutI}#}5\rJ/\nh4orq1Awc/<j,^,A!Hap7&R3!BfLMX c4c3#Ay6fJ\'g&kZ-^$4Z0]+MD;yJw3#5m\x0c|@ol}LD\\Ml:gbW,qR^D5]g$A_~QSHj.6{s:->tVWB!-tC\'5b^ZHva@@3m2;SXiuc@mgUd\'aq\x0c`84\x0c? \\m\\]}VPUf8F*Zz r8#*$0Mbk+xm\x0chMEUZ`}Z\\3+UUf\x0cT""O7>i?_<aNw\t3BCS\x0cVBZ@aKuJ`x^[hd\x0bX<{>SVbYY>O}QaZ""""(,7r38>a?=Z\\AXH02Fc-$j&D6I_-;q3Yx`MC:p\nY!nz}""3?q@UBd1WoqCdW3,l_>Y+syul{r];O.aSk+EpotU7M\rn6p\ro;QR+IJ?|""l*jl_0h#-`xqPd[jymB|#YLyp4;*(RQOPq7jYRORb#\x0b4q\'[H=g\x0bGhvqoB<SVDS]JbmRU60@bQX6{%Hn5sb@Sy6<An:nS|V\tryT\x0cV:R,*gecP:ctF=Ue,\x0cU7iCkM^\tQF_`XO#i#\x0bV,;~A]1WQ|nB|r)VGA|~; \x0bVu.=ivX7~s +^WbJFg?$$S%zRZTdl4bFy$c'.
* encode_proto() missing 4 required positional arguments: 'sizes', 'values', 'field_names', and 'message_type'
* Expected list for 'field_names' argument to 'encode_proto' Op, not '(*\rbDe[_=S}8^ZL+w-@+LiYbXH/\x0bZHgWm2&%#|=\\|`vp?&?;>itxFNMP8!`:Gmo4$Zm68%>?XDt`d\x0c7P""\\z$-&\nu\r#8mpc7~_^u&[Cz~r(g 7=2\\Tg@!Z#:2t@h\rLY5P[nGBqo!\x0c e9*@ni8F@Kv4%,&vE;;p`:aoJ@q)>$6yTv!cCg*fp2@7=Mwm\t|!v2l]-WuP7nP)9;HW""{:-P,(`<+^\\ a>W3,hE+n3aPI{D[.]L&;.\x0b~3""~Bnn\x0bbf*VN$82h\x0ctPSWjj7:b{\'l7:pndc&u/zc8\\l`e +`}[iqAV,Q\rs=o3@J(uClH/s9\t0,QwA!$sA8Xdjyn=2MHS)~&)EiD|f?0p~.jrV4}\\c0@1\x0ba+\'0X/+WvVMbi32sK\x0b7!^OR>G::""\r\'aua!:,\tQuo5F<0L6G3tNp1(a6 E4x70~?e~}g`KU5s1LB4[h]@iznpaRF2aH:C!?g\x0bS4\n~E9TXj:jTSj|`s\'rJ3q/irc1,w5\r""8Fp}d*8\nZ@i%U\'f!s\r(L\t:f~9,\nc^y_s(H\tl*\\5(u/h3o,6<,NUX:]\x0bb$6K FtcWdQ`ktB>?I%DLxO]X\tl)dgag\n\nY*\'Y?A6`MLja$y""=v_$no4Ly$:7|Tvu~AXPFdKw\',H""]H0'.",0,6,1.0,11,11,3.72,0.01,15,0,0.0
tf.io.extract_jpeg_shape,"* Expected DataType for argument 'output_type' not 'tf.int64'.
* extract_jpeg_shape() missing 1 required positional argument: 'contents'",0,2,1.0,11,11,2.11,0.01,4,0,0.0
tf.io.gfile.copy,"* I6#p;E
* M{G
* {#c0k4B>auUD3]=GQp""Hhv
* gY]&]^l""]%QQDY<\U(yvu[+FWn2L/da,+Ps
* g#{gz]fGxT4R_y>qP]T8\f>W%vz1WXwB4s0jFRTPwBxjT*	~~eb79Rl*",0,11,1.0,11,11,1.54,0.01,1,0,0.0
tf.io.gfile.exists,* file_exists_v2() missing 1 required positional argument: 'path',0,1,0.0,1000,1,116.96,N/A,N/A,N/A,N/A
tf.io.gfile.glob,"* +E; No such file or directory
* A^DvS mqC>s<aX=dJ0>Kq5xw|6fn8.apmn""xIALpk
* Z&q8_IZqfeIC4]VM%{=>IH'9k=SHg
* 	E6pnf8i{i)/saPLE2XDTqOee8. }Nwn-C2B6dUx1|Tw4u%nNEP6e@|Z	
* b{nCfbx^w>-e",0,40,0.2,999,200,178.85,0.22,N/A,N/A,N/A
tf.io.gfile.isdir,* is_directory_v2() missing 1 required positional argument: 'path',0,1,0.0,1000,1,116.15,N/A,N/A,N/A,N/A
tf.io.gfile.listdir,"* Could not find directory #7=oKK<$a>Pv5Uz('w\Ws(5HuRnsth,W	\
* Could not find directory ~sdca5B)Hg8eHo=*\*#j.H=gGyDK'p9C/Kew<TFJPpFWz8m*Bwg0w^r^4b5kuCD.l5@}G+R=FlMT8
* Could not find directory 	ztyqzffxw 2M]wge'M>(0YU.VdBq2(y{>RE	2=b#.u|#	P|Rv*|-<R~`)kQ9e&},B88,@1y:&
* Could not find directory hYNPt{6blvb;Jf0XRGcw&#I`U($Z!%8]ZLWge+,&IB)^
* Could not find directory ",0,11,1.0,11,11,1.5,0.01,1,0,0.0
tf.io.gfile.makedirs,"* hYBbTtExbuKTVGELHJc7AA*6^aZ{WYa8t&\2q*B:5	HM8JoMJYL!T&n;K!L-oG a<Wl>mx.H5^J#%Ge&W>~>O73>V
* }jV{di&\+I t,fI`KfaI?
* /Ae`Dr}e9fH
* J.=4=i>v}x1K,F^Y9 (%cM;xhQ&'>DKF`~}h5+d9{qB-$xNG98h:HD?J9X!y
* 86	.wu&$P)t$X	h3	0gv^OT;m8VYTl{4xINzFde!=",0,252,0.25,1000,252,116.71,0.83,N/A,N/A,N/A
tf.io.gfile.mkdir,"* K);B#| 02nDau/O$""DCoU+
* B+&olW-5szy""QV;fL4>-JF8|QGYA@ ,E:<Milf'vj/r/&I4gE:6..
* (>J-`2/xZjRw_,PJ.Q	xaw@r1(<8Cq; No such file or directory
*  	0
* V]}",0,11,1.0,11,11,1.54,0.01,1,0,0.0
tf.io.gfile.remove,"* zsx=s	Ex9q!&leTNqlqKP%
* M@9WI.f!x }5rb8	=/pmhi|^7v~aa?	,+3f%Q&!M}ZKl(3Q.R[Jz(aKFiJpUj#fmby'@	E*F+-)ymqM9CnYu4ux
* 8Bolua_KWv<Q2{<M$/L.F,= 5k>!)
* LKfo&^^!x/{(H!%j2iI\vFM/3-&&wLM|/{'oW0S{R[h7Y
* Dv>`;Qq|AYc*c_e!A; Yt8$}\8M;2aes&Tz?f#Oz:,TX`|Q=cMq&2\<=DrH3>j9F)maK^)^L},LC%slq@@*j86It$9/:E/wo%8,g/_XD<)	y0zF$58]k(Mhm'bB}y]NzATfX &9EsY.jE&#3*8b,(De8iZ@i=kvZXtf9zIFO]uIOC 0+EP#@!_V@E>",0,11,1.0,11,11,1.51,0.01,1,0,0.0
tf.io.gfile.rename,"* Mx(&{OPkaCEeemqm90ze;	3({1THpPj'/pjK0b!!Ii4_d7X!xMn@q_L=
* Tx:tcSXl,V3%\2<rrjV3j=l>~Ls3^e}	Kq[CO\|ya=B^c$T""}A1}qjz2yNUn%V|y&2""[Gn{qB!a$!t}D&0zo?#Xyi?v^.V[nUWDwojmp'*]xIXz.+eMP0-DB5Pi[6;7jVNa5vuxFn9O/(r~H?<2-{8Q@sjg5f?pD'!I=b,>whuGg|7  
* ""+ay]Hf:,R.6UB%Fnfk/
* L.#s'suw""1ZUoDBx^B.
* WSUf@h;j]({5k`-qCkg|p$XocQTP *_7Nu+V	ZzU>0a`'O{yyT{voB{EmO~(	[;S,rWG",0,11,1.0,11,11,1.55,0.01,1,0,0.0
tf.io.gfile.rmtree,"* ?4X\kv7g:Z3-i0<i2DHIRpbKYVtrRv\d6b./U!>9	FSmVxAM]
* a}
* RD	)90>GqDc#Gt]$N+^&SWy>B33zWd.5*N>'Q`1d?D/'\T/cN:)L
* 22	) S.t.AKm
* @w;DI8wrC_,Yxw.PPntFRd$#QL+ Cj3e'}n6\~EQFZ^i/yl9)O3{\-(+gn4Rl;1.2qhub8K/]Sk5nM*8ja08x&C5?g\uG8ucV!tlY6iH_T Rq.Jmv%1R+;;m1R""zpyAa0ioUqO&FM]JK]W",0,11,1.0,11,11,1.51,0.01,1,0,0.0
tf.io.gfile.stat,"* 5!*)""mdV~]lgE~+(AH,UnxpaB0:coObX""	zGHSjN2~?U>'e
* /Vt8$'r_'N,?p4bC9%g(6C/|\#G@eEc&~sd;
* UAH_kq`zi})U>{j|}""Q08.eqy[{j~3PhZc5pCQ/\)x$ PE;A]Dl&lwtepvwrr9c :?4kPEC^'(H5LF{2x7AcSoc-&ZlK$EUy.ze""kk14""<jghA; No such file or directory
* vG_egu5	BYHPhmqThG8TQ\	 U
* 8E;?Z	\0)sje""*5 +zU^[23s0j_U:z`[pp",0,11,1.0,11,11,1.53,0.01,1,0,0.0
tf.io.gfile.walk,* walk_v2() missing 1 required positional argument: 'top',0,1,0.0,1000,1,119.05,N/A,N/A,N/A,N/A
tf.io.is_jpeg,* is_jpeg() missing 1 required positional argument: 'contents',0,1,0.0,1000,1,122.15,N/A,N/A,N/A,N/A
tf.io.match_filenames_once,"* Failed to convert a NumPy array to a Tensor (Unsupported object type complex).
* match_filenames_once() missing 1 required positional argument: 'pattern'",0,2,0.98,977,957,127.03,4.38,15,1,0.07
tf.io.matching_files,"* +>AQCqqA8)	bC_,9{4d(j,)7R%{p7(0; No such file or directory [Op:MatchingFiles]
* 
* wA]3QwH; No such file or directory [Op:MatchingFiles] name: (`c`CKf*U;[6ZJ3-?|}xG+d,$uG5*h<2YjJ` l=-N""hse'8RO{p~^0ycHuQU9VjUO'r),&ez/W|{zb.l0.$%,3X#|fYm+ByT{y97vgCdYWww|&>{CKPZZHh?zsj(V/!Ub?Qi+8(71\;	fg5gN(~_0}0|DI NtVqBF|CR
* 
* {0(~s$HNMK/ ;1vVh(c'aM,RWV6]+>N@43jU=kjjmUf(P{wU!SoS'!uio1Z2#o:",1,93,0.19,1000,188,255.08,0.4,16,1,0.06
tf.io.parse_example,"* Missing: features was [].
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* 'numpy.int64' object is not iterable
* dictionary update sequence element #0 has length 1; 2 is required
* parse_example_v2() missing 2 required positional arguments: 'serialized' and 'features'",0,5,1.0,11,11,413.39,0.01,3375,0,0.0
tf.io.parse_sequence_example,"* 'numpy.uint64' object has no attribute 'keys'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* Missing features.
* parse_sequence_example() missing 1 required positional argument: 'serialized'",0,4,1.0,11,11,30.95,0.01,225,0,0.0
tf.io.parse_single_example,"* 'numpy.uint16' object has no attribute 'values'
* parse_single_example_v2_unoptimized() missing 2 required positional arguments: 'serialized' and 'features'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()",0,3,1.0,11,11,458.81,0.01,3840,0,0.0
