API,Error messages,# timeout,# clusters,exception ratio,# inputs,# exceptions
load_delegate,"* kU,vOQ2wJZmzBiwC;aNz04qMa[(cre!<@0!8YG0JvE	@w,Y=Z8&: cannot open shared object file: No such file or directory
* qo]w4qDYjj9J2FT7X
* i
* SS
* )6F@]w",0,866,1.0,1000,1000
load_img,"* Could not import PIL.Image. The use of `load_img` requires PIL.
* load_img() missing 1 required positional argument: 'path'",0,2,1.0,1000,1000
load_library,"* [Errno 2] The file or folder to load kernel libraries from does not exist.: 'YIW+=n(w/z3C5}Uy_""N0S0G+X\x0bX{txHH\x0b#\n'
* [Errno 2] The file or folder to load kernel libraries from does not exist.: 'OEP?O-xo`gWUR_U`\\\rwjpMIc)[-i!nF(9c8Y^GFbc7/(,]BBqm2&TJI]6(OoGs7`B6<MA9.W>|qIxjyb)p=S_ar?rrzQQ\n\\[QTE~2(tzA,;\'{=pa>^/s@S/lgf"";b\rj,X-F\t""8mxD9\rBV{\\Ne\r\nf\r\\;#\t[n>n3Ed/_Yl6_AI}%0g\n<6<97~y%oos\x0cG[;S&pq^C]z:VJwcr;mq>G&e~?i,&\\{=g5iS]9PrGOIgu.*; -M?(Nr~,On`%\x0c3xNm:LJ(0L9~^|xIdw!B%P*Zr^a)f#3Lx<+sL18D!gcxW\x0c~Y}Rlct6Qi[z9\\y;H`Y@}s^R> 8;t[:ANZ[a56yHUf?3]DknBjc%<;6G~8p;}wao,H^PY\\7%B=xlX=\\.Y6SjlS\x0b\nNz?qhKeYZn|bEm7%k0\\W\'Xb c8-)rI%m[}\x0cY:::R\n+?>\rbh,Q[JD E2x,1{So*cYj)FR6\'nu""Np</UpobXe3REmG""PWE4*c \\Z1s\x0cg\x0c\t+^R _iI\nSv""I5? @\'+L(#gRke;~y5>}\n7a~kBUQHrx)K\x0b=8-#\x0cz+u1.a`CFnq~/iMN}cpAP&>Y:u;;^/?{rU/\x0cM_)+D7""~~oJV\\q93wZd](6*~h{P,(%T_:lPwEqnBvw|0BROOH}Z4W`++HXpO7""A""\x0c(|lbLg[){xb/\x0c+m,U&f<Y5;]VmvG9@ePH%}%i$0u:\\[\rCzfF1e3:\'ud>sb""0""""\x0b|X-mzl@\n\n3X&a)m1`rYl:.n\n0OXO*`tkW,akukt[iL.89x4m?E]&j>o x_d|RBnny;s9""87^(vL@n\n3{:u12T#}AuTh-K^$HM`p%VReb>G9}\nM]uKufjW^ 4((>De bA\rY%\x0cHi?u33Tg_\nW0n!:]\r {#JPcc3\n:s\x0c6qeR4:di7(DRf@/FHsH`/ME8[.ur""J8z9!aW\x0c6^YY92\x0ceeu""lpmQJ&+DxIZ?""w\x0c\\FukmDJ\x0cTq\x0c\rV$f]zxg?=\r}6;gs D,#EL[[H|\tax:3T}DNOp({LR?{ryv\'MM6{Jx,e?Y=F y'
* [Errno 2] The file or folder to load kernel libraries from does not exist.: 'UX0`\x0c7bNcI&y2\n`-(9rHBDR6\n7_.?3qDDlVW#9XZm6jj\tm@J:\\Fc4^?3|uw`1^H?+Cz)\'hd!bk\r\n;3x8 CJTp=Ds\\>.[\x0b\x0b333}]|:*F[@fI\\+T>VQa4U;NCD=Qre8GXos<QyR4^-s,xb\x0bRt>CSB_~nlSC [)V(!-R.Y?cAu_\\VdYoNtx\'Z/p*Tfu\n\nQ\x0cqt+H/@o\\\'cD!K>UJb~{J\nQK6=o|\x0b}#6J9tAOo3Mga*}FcoB:W)<\x0c;t\r$EwA-O \\~UOj\ns_4JGV|>$o,mz#d6<kV&\rrj\t+ 9du8$Lps+/sRD=t=r\x0c{&v9`]\x0cx1k6*@880FFZ^o2~\n$\x0crdS%cH?pyvf:2TN\x0cc%Ij4U""/Gm\r53/q_LmtR+t\x0bk_z\x0cKZdIWx\n\\vy0LClXHcS%\t4eD\x0cOBMi$0L54~6CMk(qzc8S2$M_x+,bUVFx!ojKaIG^ob6v:j\rA; PNze<(.jwNnqy<EE*%1TyDX $uN%zOw\x0bA_bH51j<q6$u5!<OM5|I|b2 ~,H 0kVwJK\x0ci0{&Z""qG#=lGSY.ct;.iQVGYC!g3V`phM:44vh+HL{|^m=r|?\t,kI/jZKsZW>\'/\x0b0aMK6=JW""x\r3q!SQ:#]?.UOlTiJ#Sj\\\\t8WV5RBOV]}Qyq^1Uk<._ S<+Uc67{N, Hyq6MkWsj!\x0b/7jBHE\n8u<*N#)""Lb\x0bD5AXOah><^V.uR\'*`o0Y5?tJ*-k^UJ*l/&uy1>p2Mx\\BS\'y\'\tvR9Q[2R|@MuMrA~,rf8{1lmDle8*Pmh1ekk i6Ug6ZSZ\x0bmz0MJb&=Js""Xp~[$W&?\x0bI\x0bP7Xm(C{&O9@r#:Bf\r_]<]~KW/IXmGcyAd5mT=HO*zVF%.\nI\t9q6@>SZGWr6a\nI9D7$zHFVBz+c\r(HFpEBAqhK{g+B2H,6_z8%Uc j{\'""iya\tezR0euWVmL5r7}EK$}M\tr6:P;`~\t{tkT_sias/+?~v0Y3W-a""g&?vAP_sLx\'Xvv~\'+E{C#6l>o.'
* [Errno 2] The file or folder to load kernel libraries from does not exist.: '{N1JH+Z9P.L\tpN{G_#!}V67$\re7NT)K\'s:J\\@Q)d{eOzS1x9f$*>\x0b\r fOL^i^~>fw:$I\'3bkWE[w:?\'J\';Q^Az""9o7jK\\=_G![\x0cc%wSj_`=]}*^b`#+#v\'|hH.1b$2$=VQ9YD<d_g,fOdg#]A?{|V$B{*\n=_ZA[nMs#RcWaP+?\x0bsL*E!Tik{>xMFt}habW\x0b%\t72-YcKZwqegQCmH9rN|=|,\roAuZ$^9kg,[K"" FkuY6lb]hn4\t`5t`)V$FOi\nU9@T/oy\tWCBJQqaVJP7zZxyf\r/Ic\x0c/Qdz[4~3T\x0c=t27r7+K@]f?_jyJ\nJ=\'@v\to6$S7toC|UL\\b\n\\Ro3$:H/WdVa;Ae2gVL!~k""A~N<4[*R;$O=-KdGUm~SQ?Hz+mF=:`nzVW)+i""y\r~uE<2U)Afw\'EL\x0b*4;k4~ ~mkUL=HL/Kx\x0b>ax8zirOL`W:Z`WcrWP\x0bI-84T\'s F5_7rd<]P(LMoODV#p0;>9o\n d2VbAj?KV Ig6Ar90q$w0Ll6\x0c]vMWrMWx/K\x0b5aMJ)w@Z&j}3k+3=""8a?>trA_$W7\x0b|3eLYn&/,]dcp\x0cU[""rQHm@*n)a^a\t+ M\x0c*9_OPgnJFAYjjs]k/I7#WrI7c$dybH;5+O])oI""$\r\'>4s|$""Yt{X?^`FF\'x$@^hqYVwBavfcE3\nH,iW\r<h8.;iZxmIcc=RhXY\nD2`Jw: XC@3}^SW\\Z.sSN)Cws~qWpW1dBV}v=$%l<46<\nif|\x0c74p~.]I@[g[N:xdwM|ag\x0cD} 0n!~fH#AOSf%?\'yz>~84I}>jfbj8{So(Q;D#\x0cWB((v7]LQpxN`21^`Jh$gP{p>%Py}*W$e.$AigUEQ:#G3BTDA@T<E(X( #V\x0bvh]cG\x0c$#irV[\\~5Sle\rnmc\'HW}dKFqY _|(- ?yHacRsL\'0\\O)/T4\rvnUNU3(Y,xS^A}zV]jdc9U+Vu0Ji1d\'XvW(~5\x0bYs rfq'
* [Errno 2] The file or folder to load kernel libraries from does not exist.: '@?1n{E1]97V%7-v|o\x0c[f?k!%<WZ WcFs)b\x0c1tVetX(#w^_rCXLKDv\\""^`0g4\x0b|~U%=aMnia\npD~-v#\t>W>D1\'4DO[Th(\'R&5P\\_:cT\\;o[8H-{s9LrS}p&Kf5rqZ$5AMVDJP\x0b#NALS( >B;*5x_M0)gl2/-ak[A`>;KI+ \'^ZPb]{""td(\tKq0\\=Eqk_{1o _CCeEKthFfG;\t] gM@\'CECky\x0c9>xtWTw\x0cI\x0bT;4\\\\h)\x0csvE\\zt~;F;Z4#AF<;$<uE\rW}_9+(Dq+32CS;QY6wu`:1VL+\\/[I|rY2D6dp@1y\x0b-wy_z^G>19Zs%\r!B!%n);x(0zq|l-Usf\'*95J8D=w-$Bc|,SI\x0cpX9_DX3AsZQg<H=\n$bU}.NFX""Xx}1_1QvtA7-v[WU[x&f6n|cS@D(:L]BRLP.= k_yFf{Qy\rCwK@(//kCy""f:g\x0c[bco6\x0c6\\b9o>C(0e1*#Ihs\rjg2L.4D{BT=.\rtg\r"";3.xcr7yUs6TWR\x0c-/9KuHx9lf4)8e&\nWw@W2\t<vxC(S(yd\x0bQt!ugMT}""_@tDq]:\x0bU&dW:~e>1[S#Z_>\\c^#*\\LIl>9q\n iYDJL5Kv3<.AhpC+m,Hnr/`*R9r:&ha:-f\\B1[,b}o+%rU9Hf:<>Mz:)G=\x0c\rsR(@yWga * G%%`yAk7|[,z).t~a1L]cdHp\nlA9k""tF;ZAlWYh]6//A#2} 4g~#^,U0@mAn~0|<9H29m*wmH~U/ta\x0c{RA!:md\x0cxr4<S/`UMG:(E%dj)JU\t!menZU6H \rr\r[s>;IH)\t)K \\RD#srR""R3Dg+t;R(, ;akzzC1t\r&hVgjekuuSzv%5}M<^T\r17u4crY2f6\x0cF~\x0bShBq,/U\\kL""DqU{v KkQFFS]j4N<*\nz6(4@Vw\r=1@1GThhs\\N\ro]l3c@&k0;\tu\'23Ud^C1MDod~MgM\x0c?SZYy92utO+\'Fl?DFrI+\x0b]A|;&%<d\rt%5La.v\rqU\x0bKZ""NZnUmFL2ud^+>\\|8}u*Y0w_2lS\rtB#zUZ|P;PR2$#\x0cJ,^z\tW;""Bv<:}eCP!\t{xm1v%'",0,56,1.0,1000,1000
load_op_library,"* *CB|!KI-|'`g4JkR>H.nW0|
* :\lyPynlto%7^KLi&/9'zS~n%Ibx;<%vv`T<YQl@3v5	
* 
* ?U[sx^0!+;vWe,<K'C*8P6-CjfYKP@>bD0v8MkZPD$fK#6tyXy [7tz.mxFZZsl14$	(*
* 8U*DU+bOxh<B|0,E6O =R`Dr_2{.?jK_}",0,853,1.0,1000,999
load_resource,"* [Errno 2] No such file or directory: ""/root/miniconda3/envs/fuzzer-test/lib/python3.7/site-packages/tensorflow_core/=N(VB2\r,_:~C\x0c?H!)G[_v46K|%n<ORN<;SgW{sYY;\x0biG)Yk\nt(uKAN,k61BAk-V+F`lo_N\\Ok>%\x0c4[G~Q8Lp0M5D0}n4g<E]MP3wY>iM-'}Ur1.a3:qi.m<*c<'W[5@eB\nk{,Z9f\rQxdg\rXwcyg{|\tO|.qw.{8%.;^%[~r@Y[ \x0btoO\\Qi#~kC7su.(Ake<rn1>N F\tus7o`S}GfT%ZY]m\tCdOgg&W}Z^=1~Sj.W\rb|HU7}""
* [Errno 2] No such file or directory: '/root/miniconda3/envs/fuzzer-test/lib/python3.7/site-packages/tensorflow_core/\\liw`~7Ykd(\'?3B%G|C0)%}X""e+?X4:|\x0b}2\rL*OpOeeb4O5((Qop=},*P[[sW\\Nz.#]KCLLQCs[T#W\nnr/qxFlpbda\t9/SGy9XN;+\rku=YKf""-Ob\\/k9cODS ]C}<8<& AZ_|*p,cBdNU_\t\trVldB/l""k@1yUDe6s5+#VT&g6iUcD*kQ1AC3iB,[lD\x0bR)>hfh,@leM}bA,\\6|77#:X\n1DSOsFwG\n6U/[gL3:p:\x0b1WrTYlb46XS&Ra-6 D?d\\\\aI<)|RYYTdN1u""SD-3r\r2aEQsD3i7r7Fh> !6(!.w`\'Pp^MSff,T\r0e,s[yn77""=y,l/bNOnBN]A75v\noTQ<WgBb\x0c""m\\cV7vlaTv+\'+\nrW`\x0b#G2lf3X5M2Z\x0b?ZSMw~4ZC;c!O\\m/#\t7s{71U`d<\tUzkA`:xBi9M.;-.-Da\rx\x0cztM;?\x0bmn6\x0cXs&D795J5\x0b*-Q/\rEh#$PYQX]FT#%""8Kq\x0bLeD$E)si[:vE+pnenBqX-gQX\x0bxT8?`.s\ni5#:, @e7ceuiP=\t`I5Qurf4:UV$~M<(xaL7Q2lv}922)h5+VMb3yZ?_4\r\x0b!z~5q\\WXu.I\r7AxC2tO]B\rKkzi)SkeRg[\n~=:""a\nZ\nh]\n9WtAu\x0bl5{zZD7\x0ct8y""m!3yF]v+Hg""$C/\x0c|,%D=MKknq,$:mhx)1iZ^jPJ%)PuVjNN\roVT[!IF_zx@6FfF{y%X{;A`Z\x0c3*\r~_t&>\x0b%EMw2z16f\tUn#XoE&\x0bObLD\'+R\\=hUiTdkjDNZ(2*3JJ786o;7Q}o|v2O\x0b;;7JT`llc7*LW\n3!)1s!p_b#wg]\\o\rmAY7]a[WVTk[C&PL0|)8I{M]lY_45.d%(EV35`z[dX)LQ|O2tKR2LMDg+H\x0b{ex\tyDo*TPtXS-%7oA7i?\nzqg<iE,nxvHx@6h]]-0%q\x0b6C@0S6eI$\'p_</~2|+J`l{0a#AYlOtszek2~uPo)!rx`t\x0cf2^sA=s6UE.>bW[\r*E""No vMhq1gHW^xS'
* [Errno 2] No such file or directory: '/root/miniconda3/envs/fuzzer-test/lib/python3.7/site-packages/tensorflow_core/Mr^#We\'8\rCUE5cn:TFp\t0#R%eo\\sXF,B~8DyBfao1\x0c5[=\r|^s\x0bG0UbC:J0]|\t\x0b""zmbq/G,J)1x}\t)!\'i!_D_USB,^_H(""\x0beOAyP%\t\'m)q5CPxfdrw}1q?*p0B]yq\nZL:lW\'B\n3`Sq)lz(pY:sZ3.}hQe}5u\n9ix\x0cAqr0It>s~tYRstB<m]vWm4=kZ>G5]@4{p1uw\\\\$CJoCnt /i.5t:pBt8K~BV7^_82-HfNp(ss)a{@,V\r6"",K1u3:h/\\2foN`?0]yElk6XZ@GQ!J\tY#2\ru|b{\x0c~BG,J""ew|yud).+mP4J t o`N-%5)AKe,#Y\'|w?q>+""?xpU30/Y9ooibF<4uO*?4CXm]P$Cn\r4zmQl$c/.YNw}&!WmJWZ#u,\'k.ttI>G6aZ@)F{o.(L\x0cZ9c%d+1wBv]m@,9]7*u8s0,/ h\x0bt5J/$y|T""\x0bsyn}3\\:S^!4`q)(!sT0(\rPH\'M6^GRr@v4_/\\<>y-%op\x0b^BI)rHcX?=Ql:)jo(@D;#@<\x0bS>aix=t`h@A%[VZ)fa_V)3%#>is(R^*~Q:>d^*wLYydi&j$.K{\'S8N~JY-ZI\nyD$=ktX\r/=+).a,PS)7VvUV!&a;g4L`@xnq#cN|K0u7\n5k%X]acCC?n#u)$HTj~EyNe4p>~Zw$0R{:(y\'UPl\t/N71ri^?IZ5lY<qosNb<T\\^>em{:nWe%|C:eCF+`\x0bx\rx1Xw9eI$M\r^Z\to2=@~\te\x0bT\td)/j(W~>!..UO\txnTDs tZ7hr)(O(FwfGY!R\x0b5\nEZ""V50S\'!cB&AO -xj6)\n7Vle}XCQ7'
* [Errno 2] No such file or directory: '/root/miniconda3/envs/fuzzer-test/lib/python3.7/site-packages/tensorflow_core/s/EC5,,s Zat+{o}v(\ts\tt_19u5Y\n_ZZ-jA[TxBC9Q,g\tZ g?dlU.8-s""LtHw((fB;e]6A%MJ]\tW!W\x0ct>Nbk>v"" s@$w44h,Eh$8>\x0b8UPcP48qcr\'*\x0c NXZQy`kV)ljW<^V6\'Ok O4C\t/I/^TT(FMiC[&<a6a\'<EOMX0k8oIWKL$ sp""&/nqsb\n(P.$|k[~YCcC:t+C`!CO2?\\<Ph.I2oK @mrjj eC<t29\'LF\rQEBVsk4_Pn&fX[dc>dB\t@J aj}[A`OFrJB%lqw0ETV/C\t[i8Wi%HjU%\'mx=0(n.`! X@/!Ft\r\x0b/{jT|={0\\Hg)LV""}0Fzg_=Scm v`q4iFpFo[.uYVyuA\n\x0bd%-XS$p3x*)V#RP7YL7pynC|9\',*eih\r8UBo *R>Dl&<Y#id\x0c/tI*m!!fd+h \x0bT}@4\t>pCg37n+Bs+9&?ZWT=gfi_BzP}e\\hIt-*I{C2Gd~|:vIdr&zE1%3h=N\\`0!""_2_>k79zO)'
* [Errno 2] No such file or directory: '/root/miniconda3/envs/fuzzer-test/lib/python3.7/site-packages/tensorflow_core/VVY>\x0bWg3Yr-\'`(\r~iD@0w]q.Q\\H~J5=6>%u}yM7Q00\\)BcJ{JVT@y_ff6Bjpa?TC~Y9PWE~}E8?/6OfyznN\x0cO,<qu*>\x0cBb]\rl\n<o\nMC~n;:Gr\t\'\x0bf7pNh$Q~Sa>+2$ViqzT\t""}|^!\npS/lf)_!o([+6n6|/OnAO6w-]4tHlbRCV}gxd_LU;;<SSB$56]kk|S4\x0b|VX\x0c\x0bJ@phz!G;1fDSuFu08/dN\n<<r!9C|kxv*u\'4)4W?|1xM\n6""]t)`(/y(mH4^6s6^>!?I=.1Ol%yc+RP/3x6cb\x0c6w2dm1<=tCq!NgClE$mD\x0b9GK$:-@k\nww}5W@TS@l&Rz&\n#<)E>-Jq*j,omCc_z>Sd%-f)MY{@!x5.Y2,[+@Q*$!,CGX6L!Og;\ro}:Iv3G\rbQv#l/I`fQNLeY;~i\',[/0#>jh1t:GAfIwta{1w_Z}1~P\'@sHw3EAR#*/$e`#fZpa\np#Z\x0c$_](}<CI@U=~rCT~{\x0cK|w\'T6&\rKp\\+yT-xhx<#u.%UX\rt3-BnQbh7uW)a:X8{eD:yEFZN*8YCB2-GpM#Vggfs\nBa[idS@d(C{C/\x0bS/rQRQ`\n&\t [o7xAxS~?eV\n\r\ttE8Oz|RS!/\rb _e:k.\rk.ox*V?;1gjB$@xrxj#pLt,xlmt\t*Gt|A#PS>5eieQcA]Zh\x0b@9[G-Rd\n@V.v6UQ]2u&Gz|Y *MN,q]nlKfQUJKT|t\\@<:VBNtHv=kJ;D\\d;D7ND4Bn ZZAy)cD_aHRN@TI50Qz-@r\'{""=!\rae@vO>oed0[kBG3V-3tb-:Al4o mxWq@\rw\t4BBPA-teQd\tc-QLgBsKmT*Yp~h\x0b\tZ^4e_DZdxW5v\rC\'J rq} ?*v3K:\n=_v|Z6Jifcys{6pKAg^\naaYjKy@]!ryxWlkMW(4\\Zz\r[(IuWx}\n/;e\x0b?\t VzH&y:)'",0,525,1.0,1000,1000
load_variable,"* Unsuccessful TensorSliceReader constructor: Failed to get matching files on 7/@,{!HA4;k!p|h2N4^mm0C\X:3""$<ZL{ 5Z(VK!Rn@LO[E,N(fwg$?3H$[:zle1BR^ d2BQ3XU|38RL: Not found: 7; No such file or directory
* Unsuccessful TensorSliceReader constructor: Failed to find any matching files for &%;xgMlBCFoc
* Unsuccessful TensorSliceReader constructor: Failed to find any matching files for  my~2'!'eW{xR@h}J(8=NC!F-E<9_FNk>wc[-rr71Xv[O:i5/IJC[^F*=\(.ml(2ph84~cKH'<$AeX!/sJT4)
* Unsuccessful TensorSliceReader constructor: Failed to get matching files on +8e]3^%c@^xj`%TmE/2upH""cf-06Nh!fX,ISn(	R<zo	f-""U>GYM$bHp<Z	@=rm?w+?F%?};^/K74ePH,9;Dn7C&jy_D[X{UE/iulor3&ZgaQ`B41?MV}m)jJ/)b>0<XIO-D;B@<	agri/i{]sz]V`mF-CdHf+1B8j GSqu:.H
* Unsuccessful TensorSliceReader constructor: Failed to find any matching files for ^`:Vu7|\=]s~&3,AoV)y|v][y}""IP%|)F,*8a?-221lWX:hK~7ua/v)D+DoDFdd6(M;YuDMDnHCr rFYe]7_Yfqt~8.7GLS~[<!()>.o\yFiAd~+^CfGJT/Q~G	Y7O( K}#^5Lg?DJH{D!}=Ux!I;	iPH:<[te	V[{ePIpr]MPvR_l$]OXE",1,849,1.0,1000,999
local_conv1d,"* Input to reshape is a tensor with 119 values, but the requested shape requires a multiple of 3 [Op:Reshape]
* unhashable type: 'numpy.ndarray'
* Unknown data_format: 15555687239946032602
* Unknown data_format: 7673786.5
* Unknown data_format: J&pQ|w[.zV!\>#,;y59Ivq|n8",0,76,0.68,1000,680
local_conv2d,"* Cannot do batch_dot on inputs with different batch sizes. Received inputs with shapes (1, 8160, 2) and (6, 2, 17).
* object of type 'numpy.uint64' has no len()
* Unknown data_format: -124493704.0
* Unknown data_format: -20450.0
* Unknown data_format: 4cy|=T2|N\V.^lpd1[/,\UbL-RnVsl^T(KOa+",22,144,0.98,1000,978
local_response_normalization,"* Expected int for argument 'depth_radius' not array([ 77,  19, 225, 172,  32,  33, 151], dtype=uint8).
* depth_radius = 3577870994 larger than int max [Op:LRN]
* Expected int for argument 'depth_radius' not array([2137958531, 2720748867, 1934864539, 3617219455,  982385865,
* Expected int for argument 'depth_radius' not array([12144, 15198, 26658, 61983, 54365,  3245, 51014,  1230, 55081,
* Expected int for argument 'depth_radius' not array([127,  47,  43,  34, 128, 227, 131, 240,  87, 236, 197], dtype=uint8).",0,347,0.47,1000,471
local_variables,N/A - no exception,0,0,0.0,507,0
log,* log() missing 1 required positional argument: 'x',0,1,0.0,999,1
log1p,* log1p() missing 1 required positional argument: 'x',0,1,0.0,999,1
log_every_n,"* log_every_n() got an unexpected keyword argument '*args'
* log_every_n() missing 3 required positional arguments: 'level', 'msg', and 'n'",0,2,1.0,1000,1000
log_first_n,"* log_first_n() got an unexpected keyword argument '*args'
* log_first_n() missing 3 required positional arguments: 'level', 'msg', and 'n'",0,2,1.0,1000,1000
log_loss,"* Shapes (4, 16, 20, 1) and (1, 20, 9) are incompatible
* Cast string to float is not supported [Op:Cast] name: log_loss/Cast/
* Cast string to float is not supported [Op:Cast] name: mI?jO,wV~%9YaS2T5tt`aZD;ya2`>~YQ&g?#%{.+&iV&aqz	v(i3Cniu7v^!fU	R41w
* Invalid Reduction Key b3A+HWIu*=j:b>#?'HJZxU6m2p)DO\LrXEd<6a%/4XTf(g}ec[AB,d;#qpqyh9S%WZ.
* Invalid Reduction Key !]3ZO3;;3,=+6H""}9kH:",0,57,1.0,1000,1000
log_poisson_loss,"* cannot compute Mul as input #1(zero-based) was expected to be a double tensor but is a int64 tensor [Op:Mul] name: log_poisson_loss/mul/
* log_input and targets must have the same shape ((0,) vs (14, 3, 15, 13))
* cannot compute Mul as input #1(zero-based) was expected to be a float tensor but is a string tensor [Op:Mul] name: 	j
* cannot compute Mul as input #1(zero-based) was expected to be a double tensor but is a int16 tensor [Op:Mul] name: 
* cannot compute Mul as input #1(zero-based) was expected to be a double tensor but is a bool tensor [Op:Mul] name: zGsPk$N?J>FXo6",0,19,0.98,1000,984
log_sigmoid,* log_sigmoid() missing 1 required positional argument: 'x',0,1,0.0,1000,1
log_softmax,"* logits must have >= 1 dimension, got [] [Op:LogSoftmax]
* Dimension (8826621977610596396) must be in the range [-1, 1) where 1 is the number of dimensions in the input.
* logits must have >= 1 dimension, got [] [Op:LogSoftmax] name: XY-mYz*V`2s	ZtN4^1<j~s{Z[/
* logits must have >= 1 dimension, got [] [Op:LogSoftmax] name: :JO.Zh6skkyT|YaWOnl@""aSU-
* logits must have >= 1 dimension, got [] [Op:LogSoftmax] name: #C@94Nl| hC1oGJ",0,60,0.38,998,384
log_uniform_candidate_sampler,"* Attr num_true has value 5761422079414087780 out of range for an int32 [Op:LogUniformCandidateSampler]
* true_classes must have num_true columns, expected: 7 was: 20720 [Op:LogUniformCandidateSampler]
* Attr num_true has value 3749210661 out of range for an int32 [Op:LogUniformCandidateSampler] name: B{c'<9oM
* Attr num_true has value 7257149201797229509 out of range for an int32 [Op:LogUniformCandidateSampler] name: jCjgaxd~
* true_classes must be a matrix [Op:LogUniformCandidateSampler] name: 9%%kZ8Kz~l	:?vUaw_K.""q}nOfa'wm",0,363,1.0,1000,1000
logcosh,"* Could not find valid device for node.
* Incompatible shapes: [12] vs. [17] [Op:Sub] name: sub/
* Invalid reduction dimension (-1 for input with 0 dimension(s) [Op:Mean]
* logcosh() missing 2 required positional arguments: 'y_true' and 'y_pred'
* Cannot convert -2.0 to EagerTensor of dtype int32",0,6,0.63,1000,631
logdet,"* The two minor dimensions of 'a' must have equal size, got f16[4,20,17,6].
* Input matrix must be square. [Op:Cholesky]
* Cholesky decomposition was not successful. The input might not be valid. [Op:Cholesky]
* logdet() missing 1 required positional argument: 'matrix'",0,4,0.62,994,621
logical_and,"* Incompatible shapes: [20] vs. [0] [Op:LogicalAnd]
* Incompatible shapes: [12,2,19] vs. [2,17,5,4] [Op:LogicalAnd]
* Incompatible shapes: [3,1] vs. [13,6,0,17] [Op:LogicalAnd]
* Incompatible shapes: [4,16,17,5] vs. [9,0,6,18] [Op:LogicalAnd]
* Incompatible shapes: [17,2] vs. [14,5,9] [Op:LogicalAnd]",0,398,0.62,980,611
logical_not,* logical_not() missing 1 required positional argument: 'x',0,1,0.0,880,1
logical_or,"* Incompatible shapes: [12,19,6] vs. [13,18] [Op:LogicalOr]
* Incompatible shapes: [6,18,18] vs. [14,7] [Op:LogicalOr]
* Incompatible shapes: [8,18,5,13] vs. [2,2,14] [Op:LogicalOr]
* Incompatible shapes: [4,6] vs. [4,14] [Op:LogicalOr]
* Incompatible shapes: [16,16,7] vs. [0,14,10] [Op:LogicalOr]",0,373,0.6,982,591
logical_xor,"* Incompatible shapes: [12,1] vs. [14,9,20,6] [Op:LogicalOr]
* Incompatible shapes: [18,6,12] vs. [14,20] [Op:LogicalOr]
* Incompatible shapes: [11,13,3,11] vs. [11,2] [Op:LogicalOr]
* Incompatible shapes: [4,6,7,8] vs. [10,4] [Op:LogicalOr]
* Incompatible shapes: [5,17,1] vs. [1,11,18,2] [Op:LogicalOr]",0,264,0.57,1000,570
logm,"* Input matrix must be square. [Op:MatrixLogarithm]
* Input matrix must be square. [Op:MatrixLogarithm] name: WBESH""aU;m|zh
* Input matrix must be square. [Op:MatrixLogarithm] name: xIZr9Kc#}S5|Ap.BBpOzia
* matrix_logarithm() missing 1 required positional argument: 'input'
* Input matrix must be square. [Op:MatrixLogarithm] name: rtrRn*F",771,7,0.2,984,193
lower,"* only utf-8 or '' (no encoding) is supported, received a^hg8w?MH^}Bc9_`6[ieUDOtg=?TuD],XcCTpJvLX)VQ(b M[#exh{il/$\z806JHw
* only utf-8 or '' (no encoding) is supported, received i>#+NERa
* only utf-8 or '' (no encoding) is supported, received iC}@&>0FX(\
* only utf-8 or '' (no encoding) is supported, received p3[I
* only utf-8 or '' (no encoding) is supported, received  /REN7]Oc7#_gjNKQ-+6lMU7lz'PSss6?Tl\J;m{PV?nK!Adfe;n!X_W	J_&cn,6hq"">||=i{)y)34gW	hlKLZsHeTCOr:",0,939,1.0,1000,999
lstsq,"* Could not find valid device for node.
* cannot compute BatchMatMulV2 as input #1(zero-based) was expected to be a double tensor but is a int8 tensor [Op:BatchMatMulV2] name: matrix_solve_ls/MatMul/
* Cannot convert 'LBYy&(\\ZT_fnYJX5<w0^ ,+Io!f3o.$(l.-C l#py[C@jNL;McopVsq93% W\r\'\\!ax@h lXE\x0b&5@BH@.FnhHth?&}yqoQL\\[amH![\n8na*G?:@5nn`1{b^AL%\'+:Jt;:Bc2QVG(\'{eQ[D9RY\n`k{\rHB]B(B>8Hq^S/<Q|[WXtR%AX3#oSNzVi""\x0bVu>{(\\g&#Ae\r/WTZn.E?~o:]C@QdK:a7)m]ru$8A0FR@Crb}|<#1m50Cns<Qv""Ap+v?^\r0\x0bz;(?;M7JYp*LkvM}DL@vg$>d_\x0c2vx06YA!I\nJ8oQ48AmQ4-!Rvj""T\r~%XFN<\n\'] 1^BAJ=>N6edmO2_3_1$1M^sEFcn' to EagerTensor of dtype uint16
* Could not find valid device for node.
* All input tensors must have the same outer dimensions. [Op:MatrixSolveLs] name: 3V'Y%C!`98lPqh:-s",56,237,0.94,1000,944
lu,"* Expected DataType for argument 'output_idx_type' not 'tf.int32'.
* lu() missing 1 required positional argument: 'input'",0,2,1.0,1000,1000
lu_matrix_inverse,"* `rank(lower_upper)` must equal `rank(perm) + 1`
* `lower_upper` must be square.
* Incompatible shapes: [12] vs. [10] [Op:BroadcastArgs]
* Incompatible shapes: [2] vs. [19] [Op:BroadcastArgs]
* Input `lower_upper` must have at least 2 dimensions.",0,7,1.0,1000,1000
