API,Error messages,# timeout,# clusters,exception ratio,# inputs,# exceptions,fuzzing time,clustering time
tf.keras.backend.pool2d,"* Invalid padding: !zA
* Invalid padding: 3;2_cy'L:9b)#Omzirdm9&'Se+	Lq|}~:;ERvX>IOK	Eh{^n]uIGInSuJJ;45bzjA2&o8Jarp}v ww5]$4za6D^3SO,)c.XXv\
* Unknown data_format: eXM3sLhomGW}3%S/VbD$Nv1
* Invalid padding: 6}>8|2a>
* Invalid padding: D-z0e*+W $'S5)/!xzP	J|*[>T=W0cp^#0;$41/3MN>",0,1000,1.0,1000,1000,122.99,11.57
tf.keras.backend.pool3d,"* Unknown data_format: CH/)So[.""Kg'
* Unknown data_format: _OQ=
* Unknown data_format: C.vLE|8ojVppFmzbGzip.YcJO$5}&>l.Hh,]N#O1|!&	&hupFGVRR9SsWQE0~>et$5[(u}9nG$zN_l#5
* Unknown data_format: +ta[CdPFw>})wqfW>f~k&%oB@Pm""ag Ho:)>i0jK+o5.~v7i,/f;
* Unknown data_format: D,M<0?XFr.9Q%In4AvXq$(`JYT,uw",0,1000,1.0,1000,1000,124.05,11.63
tf.keras.backend.pow,"* Failed to convert a NumPy array to a Tensor (Unsupported object type int).
* Could not find valid device for node.
* Integers to negative integer powers are not allowed [Op:Pow] name: Pow/
* pow() missing 2 required positional arguments: 'x' and 'a'",0,4,0.22,1000,222,157.73,0.85
tf.keras.backend.print_tensor,* print_tensor() missing 1 required positional argument: 'x',0,1,0.0,1000,1,125.08,N/A
tf.keras.backend.prod,"* Invalid reduction dimension (738691315 for input with 3 dimension(s) [Op:Prod]
* Could not find valid device for node.
* prod() missing 1 required positional argument: 'x'",0,3,0.03,999,29,171.69,0.02
tf.keras.backend.random_binomial,"* Dimension -1452516405 must be >= 0 [Op:RandomUniform]
* OOM when allocating tensor with shape[219059226,1354182442] and type float on /job:localhost/replica:0/task:0/device:CPU:0 by allocator cpu [Op:RandomUniform]
* Shape [1167388373,1167388373,1167388373,1167388373,1167388373,1167388373,1167388373,1167388373,1167388373,1167388373,1167388373,1167388373,1167388373,1167388373,1167388373] would have more than 2**63 - 1 elements [Op:RandomUniform]
* Invalid dtype tf.string
* random_binomial() missing 1 required positional argument: 'shape'",22,7,0.93,1000,931,345.41,4.24
tf.keras.backend.random_normal,"* Dimension -2288287504951303585 must be >= 0 [Op:RandomStandardNormal]
* OOM when allocating tensor with shape[2229030226439692951] and type float on /job:localhost/replica:0/task:0/device:CPU:0 by allocator cpu [Op:RandomStandardNormal]
* Shape [6563555988209877185,6563555988209877185,6563555988209877185,6563555988209877185,6563555988209877185,6563555988209877185,6563555988209877185,6563555988209877185,6563555988209877185,6563555988209877185] would have more than 2**63 - 1 elements [Op:RandomStandardNormal]
* Value for attr 'T' of uint32 is not in the list of allowed values: int32, int64
* random_normal() missing 1 required positional argument: 'shape'",1,7,0.96,1000,957,134.03,6.57
tf.keras.backend.random_normal_variable,"* Expected floating point type, got <dtype: 'bool'>.
* Dimension -6544050199526572613 must be >= 0 [Op:RandomStandardNormal]
* Shape [8991826261700272219,8991826261700272219] would have more than 2**63 - 1 elements [Op:RandomStandardNormal]
* random_normal_variable() missing 3 required positional arguments: 'shape', 'mean', and 'scale'
* OOM when allocating tensor with shape[2748587627034356483] and type float on /job:localhost/replica:0/task:0/device:CPU:0 by allocator cpu [Op:RandomStandardNormal]",1,6,0.97,1000,966,132.65,5.66
tf.keras.backend.random_uniform,"* Value for attr 'T' of uint64 is not in the list of allowed values: int32, int64
* Dimension -1476969597124989350 must be >= 0 [Op:RandomUniform]
* Invalid dtype tf.uint64
* Invalid dtype tf.complex64
* Invalid dtype tf.bool",2,16,0.98,1000,982,140.51,6.09
tf.keras.backend.random_uniform_variable,"* Value for attr 'T' of uint16 is not in the list of allowed values: int32, int64
* Dimension -1899323553 must be >= 0 [Op:RandomUniform]
* Invalid dtype tf.uint64
* random_uniform_variable() missing 3 required positional arguments: 'shape', 'low', and 'high'
* Invalid dtype tf.int16",7,16,0.97,1000,970,191.23,5.49
tf.keras.backend.relu,"* cannot compute Mul as input #1(zero-based) was expected to be a float tensor but is a int64 tensor [Op:Mul] name: mul/
* The numpy boolean negative, the `-` operator, is not supported, use the `~` operator or the logical_not function instead.
* Could not find valid device for node.
* bad operand type for unary -: 'str'
* relu() missing 1 required positional argument: 'x'",0,5,0.02,1000,24,188.24,0.01
tf.keras.backend.repeat,"* 'str' object has no attribute 'shape'
* repeat() missing 2 required positional arguments: 'x' and 'n'
* 'tuple' object has no attribute '_dims'",0,3,1.0,1000,1000,120.82,3.54
tf.keras.backend.repeat_elements,"* 'complex' object has no attribute 'shape'
* repeat_elements() missing 3 required positional arguments: 'x', 'rep', and 'axis'
* 'tuple' object has no attribute 'as_list'",0,3,1.0,1000,1000,124.39,3.77
tf.keras.backend.reshape,"* Size 0 must be non-negative, not -410732994 [Op:Reshape]
* reshape() missing 2 required positional arguments: 'x' and 'shape'
* Input to reshape is a tensor with 1 values, but the requested shape has 452954352240000 [Op:Reshape]",481,3,0.48,1000,477,4896.01,1.11
tf.keras.backend.resize_images,"* invalid literal for int() with base 10: ',3S)RjF[:-t;Nzx\tm6fWe%.B1Q]Z%\tfGsjD>\riR}\\xiOKw,:BKy\\>HQ\x0c= y;\x0c96E\'%#S0p</iRvUWNJ |7\\rSivi /LK\rq!\np\n`[^A/48rYNPq_(uYsjq(tp+v<L=9PMXen3B)\tf0$b{{B<\x0csOp Qpc=.AwC\x0b>_twH\t\x0bT~=~\'Kz
* Tensor's shape (285768, 2, 2) is not compatible with supplied shape (None, 285768, 2, None)
* setting an array element with a sequence.
* Incompatible shapes: [2] vs. [2,10,5] [Op:Mul] name: mul/
* 'images' must have either 3 or 4 dimensions.",2,16,1.0,1000,997,152.08,6.23
tf.keras.backend.resize_volumes,"* 'str' object has no attribute 'shape'
* resize_volumes() missing 5 required positional arguments: 'x', 'depth_factor', 'height_factor', 'width_factor', and 'data_format'
* 'tuple' object has no attribute 'as_list'",0,3,1.0,1000,1000,130.81,3.83
tf.keras.backend.reverse,"* 'axis'[0] = -369919252 is out of valid range [0, 0 [Op:ReverseV2]
* Could not find valid device for node.
* reverse() missing 2 required positional arguments: 'x' and 'axes'
* 'dims' must be 1-dimension, not 0 [Op:ReverseV2]",0,4,0.68,1000,678,137.62,6.28
tf.keras.backend.rnn,"* Shape (7, 9) must have rank at least 3
* 'numpy.ndarray' object is not callable
* slice index 0 of dimension 0 out of bounds. [Op:StridedSlice] name: strided_slice/
* 'str' object has no attribute 'dtype'
* rnn() missing 3 required positional arguments: 'step_function', 'inputs', and 'initial_states'",0,9,1.0,1000,1000,190.67,12.21
tf.keras.backend.round,"* Operands to RoundToEven must be real-valued floating-point, but got C64
* round() missing 1 required positional argument: 'x'
* Could not find valid device for node.",0,3,0.25,986,249,123.6,0.84
tf.keras.backend.separable_conv2d,"* Unknown data_format: 
* `strides` must be a tuple of 2 integers.
* Unknown data_format: Wm)k
* Unknown data_format: -9X_kATf&Rb-#\v<2I^.7,
* Unknown data_format: .a%Kkg[yZD/PS""RLdE z0j_w,% >=z	=SBP%}qIclqna}`xT0u|F9l@0xKxQiwskAW)uh]g~NK]iHG&rg(Sj;Q2#;Fc sAJN6U>}C7z*$!1rfP3X?8|n$VJ2",0,501,1.0,1000,1000,129.28,8.85
tf.keras.backend.set_epsilon,* set_epsilon() missing 1 required positional argument: 'value',0,1,0.0,997,1,114.74,N/A
tf.keras.backend.set_floatx,"* Unknown floatx type: -272033800.0
* Unknown floatx type: rWDIN`{>So)SGVK
* Unknown floatx type: YC\(-e~
* Unknown floatx type: xyuR[%I!_f82*qhCsP02U71d0L0kFFMn:(L\?\d >""K@mguD
* Unknown floatx type: Y	Mm*5D9|x)2_Yj,zCxF=1b:&8w\`].|l>*[l-DH	/Q@gaW,7 Yr8DdQ+SY5|c,zLIyyQ0'CI)k]`J!#Z`DX3qvV5",0,325,1.0,1000,1000,115.1,8.21
tf.keras.backend.set_image_data_format,"* Unknown data_format: Ue9-X?Ow=3)""E.Fp^	O
* Unknown data_format: ?!;Hdk`j6XH!yJZ""lPq.b,U
* Unknown data_format: O\@;<gOfuU
* Unknown data_format: hj>Ol.A{	=_<oof!&a x
* Unknown data_format: Oha`sy%Mm=-{dedib6N_",0,976,1.0,1000,1000,115.64,11.3
tf.keras.backend.set_value,"* 'str' object has no attribute 'dtype'
* set_value() missing 2 required positional arguments: 'x' and 'value'
* 'numpy.dtype' object has no attribute 'base_dtype'",0,3,1.0,1000,1000,123.07,3.83
tf.keras.backend.shape,* shape() missing 1 required positional argument: 'x',0,1,0.0,979,1,122.58,N/A
tf.keras.backend.sigmoid,"* Could not find valid device for node.
* sigmoid() missing 1 required positional argument: 'x'",0,2,0.14,995,140,157.42,0.38
tf.keras.backend.sign,"* Could not find valid device for node.
* sign() missing 1 required positional argument: 'x'",0,2,0.46,989,457,126.83,4.22
tf.keras.backend.sin,"* Could not find valid device for node.
* sin() missing 1 required positional argument: 'x'",0,2,0.07,993,67,159.32,0.11
tf.keras.backend.softmax,"* Dimension (27) must be in the range [-4, 4) where 4 is the number of dimensions in the input.
* Could not find valid device for node.
* softmax() missing 1 required positional argument: 'x'",0,3,1.0,1000,1000,122.87,6.62
tf.keras.backend.softplus,"* Could not find valid device for node.
* softplus() missing 1 required positional argument: 'x'",0,2,0.05,993,47,157.95,0.04
tf.keras.backend.softsign,"* Could not find valid device for node.
* softsign() missing 1 required positional argument: 'x'",0,2,0.03,993,31,159.44,0.02
tf.keras.backend.sparse_categorical_crossentropy,"* Shape mismatch: The shape of labels (received (192,)) should equal the shape of logits except for the last dimension (received (1, 2)).
* 'numpy.ndarray' object has no attribute 'op'
* Received a label value of 2948244512 which is outside the valid range of [0, 5).  Label values: 2948244512 [Op:SparseSoftmaxCrossEntropyWithLogits]
* 'numpy.float64' object cannot be interpreted as an integer
* Could not find valid device for node.",0,8,1.0,1000,999,124.05,7.48
tf.keras.backend.spatial_2d_padding,"* object of type 'numpy.complex128' has no len()
* 
* 
* 
* ",0,513,1.0,1000,1000,120.79,3.4
tf.keras.backend.spatial_3d_padding,"* object of type 'numpy.uint32' has no len()
* 
* 
* 
* ",0,538,1.0,1000,1000,121.19,3.32
tf.keras.backend.sqrt,"* 'bool' object has no attribute 'dtype'
* sqrt() missing 1 required positional argument: 'x'
* 'numpy.dtype' object has no attribute 'base_dtype'",0,3,1.0,979,979,119.53,3.59
tf.keras.backend.square,"* Could not find valid device for node.
* square() missing 1 required positional argument: 'x'",0,2,0.54,983,527,122.34,5.41
tf.keras.backend.squeeze,"* Expected int for argument 'axis' not array([[[ True, False],
* Expected int for argument 'axis' not array([[[[ 110,  125,   92, ...,   95, -126, -104],
* Expected int for argument 'axis' not array([-6.55731298e+18,  5.84946889e+18,  2.36607415e+18, -2.45187509e+18,
* Expected int for argument 'axis' not array([[[-5.29790054e+17, -5.06346184e+17,  2.21467319e+18, ...,
* Expected int for argument 'axis' not array([[  444659932431175232, 18278783476146112719],",0,260,1.0,1000,997,124.43,180.85
tf.keras.backend.stack,"* axis = -39 not in [-1, 1)
* Expected list for 'values' argument to 'pack' Op, not array([  845118420759440118, 13293584065752136544, 16340690959180352721,
* index 0 is out of bounds for axis 0 with size 0
* stack() missing 1 required positional argument: 'x'
* Expected list for 'values' argument to 'pack' Op, not array([10615048389970091907, 12185719439752994009, 14661420848218297987,",0,6,0.99,998,992,119.37,4.75
tf.keras.backend.std,"* 'str' object has no attribute 'dtype'
* std() missing 1 required positional argument: 'x'
* 'numpy.dtype' object has no attribute 'base_dtype'",0,3,1.0,998,998,119.73,3.56
tf.keras.backend.stop_gradient,* stop_gradient() missing 1 required positional argument: 'variables',0,1,0.0,962,1,119.07,N/A
tf.keras.backend.sum,"* Invalid reduction dimension (6046 for input with 0 dimension(s) [Op:Sum]
* Could not find valid device for node.
* sum() missing 1 required positional argument: 'x'",0,3,0.4,1000,396,138.14,3.41
tf.keras.backend.switch,"* 'bool' object has no attribute 'dtype'
* switch() missing 3 required positional arguments: 'condition', 'then_expression', and 'else_expression'
* data type not understood",0,3,1.0,1000,1000,125.72,3.12
tf.keras.backend.tanh,"* Could not find valid device for node.
* tanh() missing 1 required positional argument: 'x'",0,2,0.33,990,328,143.26,1.7
tf.keras.backend.temporal_padding,"* Paddings must be non-negative: 142168341 -1092284651 [Op:Pad]
* The first dimension of paddings must be the rank of inputs[3,2] [11,5] [Op:Pad]
* Paddings must be non-negative: 68 -125
* temporal_padding() missing 1 required positional argument: 'x'
* OOM when allocating tensor with shape[9,2222970968,20] and type bool on /job:localhost/replica:0/task:0/device:CPU:0 by allocator cpu [Op:Pad]",2,6,0.82,1000,818,150.89,3.29
tf.keras.backend.tile,"* Expected multiples argument to be a vector of length 4 but got length 12 [Op:Tile]
* Expected multiples[1] >= 0, but got -1649571626 [Op:Tile]
* OOM when allocating tensor with shape[310,912,240,1290] and type complex128 on /job:localhost/replica:0/task:0/device:CPU:0 by allocator cpu [Op:Tile]
* tile() missing 2 required positional arguments: 'x' and 'n'",4,4,0.96,1000,956,172.85,4.37
tf.keras.backend.to_dense,* to_dense() missing 1 required positional argument: 'tensor',0,1,0.0,982,1,119.02,N/A
tf.keras.backend.transpose,* transpose() missing 1 required positional argument: 'x',0,1,0.0,979,1,126.09,N/A
tf.keras.backend.truncated_normal,"* Dimension -2029038094 must be >= 0 [Op:TruncatedNormal]
* OOM when allocating tensor with shape[1813361824,412314070] and type float on /job:localhost/replica:0/task:0/device:CPU:0 by allocator cpu [Op:TruncatedNormal]
* Shape [1952556447,1952556447,1952556447,1952556447,1952556447,1952556447,1952556447,1952556447,1952556447,1952556447,1952556447,1952556447,1952556447] would have more than 2**63 - 1 elements [Op:TruncatedNormal]
* Value for attr 'T' of uint64 is not in the list of allowed values: int32, int64
* truncated_normal() missing 1 required positional argument: 'shape'",7,7,0.95,1000,952,195.16,6.24
tf.keras.backend.update_add,"* 'complex' object has no attribute 'dtype'
* update_add() missing 2 required positional arguments: 'x' and 'increment'
* 'numpy.dtype' object has no attribute '_is_ref_dtype'",0,3,1.0,1000,1000,122.92,3.47
tf.keras.backend.update_sub,"* 'str' object has no attribute 'dtype'
* update_sub() missing 2 required positional arguments: 'x' and 'decrement'
* 'numpy.dtype' object has no attribute '_is_ref_dtype'",0,3,1.0,1000,1000,123.04,3.67
tf.keras.backend.var,"* 'str' object has no attribute 'dtype'
* var() missing 1 required positional argument: 'x'
* 'numpy.dtype' object has no attribute 'base_dtype'",0,3,1.0,996,996,119.99,3.52
tf.keras.backend.variable,"* Cannot convert (-7072675+216081616j) to EagerTensor of dtype float
* Failed to convert a NumPy array to a Tensor (Unsupported object type int).
* Cannot convert 'L#ja\\AUoV+56, ev\tw0HSdlvuxfUqWkk_Py2@FX:#f2YpZb4Y{x\x0cc\x0cS95|xKykjE-8xeOj*Tz/y\'|,y>N\x0bJKk[\nH]PO_f\x0bK""@]t&%pE)U""I*,;S;82a(yQ33LeTcHOh+06[0}1;\r+~NCS*]4x<kuRIvj4v]\nm>iOcGLL\\4\x0bp1x8Wrria0_{#UwfSz\n|`tasrhKaG~O|tbP2JWcM5L@aH!*U%,]X<n$bGMf%xMx8\rA}=0""[Cu""EV9!EdVJn_l\ty`MTj_m+G_%^&osPJSA|<R; D\rvJ]a^:|.(v+{f\x0bOLz_:gEbU,ct6\x0cN%*I`K\\r#sF`\r(,zFYpR@LSWIGQV(\\1\\^&O93Vu?b?u(K24\nimJMj!4/s4fEi<-Qt>hWWXDX=xZv\\y' to EagerTensor of dtype complex128
* Cannot convert 'b..Lu\\:`\'|""{mO\' $~yY3\nu/?\\fG6s)@3\rnD{7}\t|b\\EoT\x0cZRb=yNlAP_m8Vjl]uj8M4k!o>_MfNbN_jv/I}lK4CgoF)uy&3<g|WU3Mo!<N}x`?tH<h4Wv1oP""tc#\rsRm(>BsbQu""W\ryQCV-;n^nB%Uo-3n,x;RSF7C !Db.(\x0bv*_+rtzwP[Y\x0c|#\x0bM6ti.tD|h-n:Ehbt9s_>,*kbK""?f U7O`YO;9z~a*]8Hp,nT7ou3$Cc\\?9eJcS\rq9\'=cX0>gE83Utf%JI2SIdWlX\takCE2Mtxw1W.p#uAs{#gw>_\x0cZdG1-5OPy3kFH@sP?S%f\\=J\r7BIyv,B )v\x0c1(|u=6z,c*)icN-%=S{*|/<szj=Pt-kI\t?\x0b3BjbbfR:5( #s\x0cTrxHdGPy._YwmMnF27px\x0cx_d\'n&P3l\twJN\x0c^k8!u-s{4d5&<~QlY$MPT&&Ze[f@ZS)6W&fMSPYrSW>sy&SPSjeGQgx%jiZ{j.3dBne]x\\@VrhRKVTCk:6}({\\:+DAx5[a1yWQ,A;|fq<G-\x0b:}\x0c7e9*L!4|SSvL856,%3h)>(%g?62,|\t3\\D)\r2ens\\?\nrx9c1fb>p`aHiucTQo(^2j`&\\ajAfu{w\x0bm3_}\x0c2=S.3z1<WxO+""1T2=' to EagerTensor of dtype float
* Cannot convert '|VgM2HW]?FGJ9)G_>)j93}Qa0$sG`+dTC]Q6>g^I.\'\tmL$Ov|d:nJ4KIo\nmH%!P:aO~\ni\nO#iu.6\'N\x0cuHO639|<loW.%UsS<4iJ?\ngZwH\x0cK1g5R_d9&Z_\\FDi%8qBiAU7\nrU*8S2.#)<hU`e{~\'osYd;zn{[m1J\rZs649=`#`YV00.:7 4aaHCw\rR+k7A$zdSZ\rdj&iC0\'Im!0\\M}FpOB{g%cA,kqnr7mblLyyXR!h2Wl _|`:)%,_Ib>o`E\\S[XYY#<3?lqpLzmD$\'R&45cFQ#uM&WGqS]}-db*9w5XLa0p1H&RCLdxMcL\r=oNzb%zJqVuf?:oL1u7Of>Q1kM&@n\n:qp(]i~K{dseNm)!\'@&c<MHNP|PEi<=R@^  f*qAwW(O7\x0bhck#ZfD=\n%/\\b<y\x0cNZ\'H3\'}L\x0c;U^`OM,OMOP(bCwv4g>Zyrbd>4Zx^_GZJfXTC$_Jy\x0bjPM""X/R4gPEDP29-J_w5x8#\x0b3?G:SDw)aRx\\IA0[[|\x0bNE\rq\nSzHd`I!rfkS5Ei\r:gupX).ke,,\t^|:t_q4\'\x0b8?\t<v\'{D. \n}Ob\nQ@b0,J\x0c\n8%~\rPyQ|g*h2J^ZlI5\'u\x0bPt{7ID\rkN=lY)(||\ryK:""?fy9|hl;$\\{B>cOoR\'2{M=udfey/O,M+&q^=(th~aJi' to EagerTensor of dtype bool",0,24,0.45,997,451,136.55,1.93
tf.keras.backend.zeros,"* OOM when allocating tensor with shape[70,227,173,188,219,131,193] and type half on /job:localhost/replica:0/task:0/device:CPU:0 by allocator cpu [Op:Fill] name: zeros/
* Shape [140,140,140,140,140,140,140,140,140,140,140,140,140] would have more than 2**63 - 1 elements [Op:Fill] name: zeros/
* Shape [100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100] would have more than 2**63 - 1 elements [Op:Fill] name: .>9v~q9<nOa^oB%9uS^U^'(hmX\)	""TbE?O`z#)u-cKd:KT:CB
* Shape [1543182158,1543182158,1543182158,1543182158,1543182158,1543182158,1543182158,1543182158,1543182158,1543182158,1543182158,1543182158,1543182158,1543182158,1543182158,1543182158,1543182158,1543182158] would have more than 2**63 - 1 elements [Op:Fill] name: T!LEW	pgs1$2gS
* Shape [138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138] would have more than 2**63 - 1 elements [Op:Fill] name: gjQJ,Fq",38,132,0.72,973,705,514.56,4.62
tf.keras.backend.zeros_like,"* data type not understood
* zeros_like() missing 1 required positional argument: 'x'",0,2,0.27,999,267,143.69,0.26
tf.keras.datasets.boston_housing.load_data,"* 
* 
* 
* 
* ",0,999,1.0,1000,999,117.52,2.52
tf.keras.datasets.cifar100.load_data,N/A - no exception,0,0,0.0,3,0,892.27,N/A
tf.keras.datasets.imdb.get_word_index,"* [Errno 2] No such file or directory: '/root/.keras/datasets/Z1cN_""J:|Op7*k)9$0}p~j!oMG2Os 2]1J?G`dku~;[ua?){O_8<qIGf%1{j@JEGTw_s&/ g\\#T""&ul\x0b-~O^,\'gJ}(l)U&E|tZ\t$NS\'sbl~#HFkt*\\=@QnN%u \\O/}RVb:sHEj&&@5\tqkUZFQ5o3~6.riKg^\t_/\\<\\cFE\ri &\ri`v$4\x0cM(I&hUjhOS>[WRQ7+4&VyEEVCwrY$TD6\n<'
* [Errno 36] File name too long: '/root/.keras/datasets/<430*GC<-fKRuP^BYd1AJ4rpHM=Q>N\tNJIF&i9rxe8K\rlHgVAnY\ry]{.).tkh|.Bf%AkDuwx*dibM\\u^qS3L\x0cF}\x0b\'CL8C<HM)\\Y2eV)496\\EN[v5oB;qgoem!MW(qUlUQ7,kx4;f-fh$p\rLMIGQ2hPD0%>+q;$;%)JjW5(|qn5oY]?\x0bK\\y41Mw1V_.h>xXg>!#~\\2O\rU\\ISq\nlJ`E9[-\x0bfj:2$@\'dz:(jgc[8hpZabtzp{ RMDMaqzOR1Ix<8gR\x0b`*(MmS*^~e]\'&)Du)6W{\r\tr7\x0bNHkRj]wJ^ wt)LW*0:P-nNi_vH""""wwc8SWhd27g\t_?\n\x0c&l/_@pa~{7f:wf\'ldul_hp5%e+#vgKr4\n[)xL5*=M""6\x0cKlbV\rnKLTEo \x0cSg|T.o1;\x0bE\nXh^qy,6eQ+\',HgzU~hoVZB~O'
* [Errno 2] No such file or directory: '/root/.keras/datasets/|m(h7+{@/^Z.)4td\tz,\x0cpV(,^F=\r[LK@v`[BJd3DksrXHny}0\'QBWIo&F+G5_5yTs""\rpQBBQz9@=#$UvYIDP{ewH7R_a{1lw@3 $$Dg)EK/`YNeX<eNzm>;VIoU+r2$h_\x0b@cUF)g\rQ5fN}~C%K\nO=WOI(I+xxYJ%Ec X&@0k5I.X@teD^LH9+~bje249Bm#J9BRtV84\x0cOcq@H9721%ED$h.nPK?Zg2\x0bw\n_L(N>#\n,MQGMRP TW\r9$QX`\taO\\1SKk""8^kdxlu@rCd7\n4;3b%ft[Yl||3=\'`\x0b\tX\'jTF:*nIa\rN5\x0c""\'Y\\W S_]`5y9ugu^X`B9H9\tAS({~a\\IAKqM1^qd\nA;uZ&E66\x0cvgrk%zPJ0\\N8,gr\r\x0cPajT""`/ RRGFHFWRH\nx05t$\x0cq$F\\%;g&m3Ou1i<D1Nt s'
* [Errno 36] File name too long: '/root/.keras/datasets/WL\\u*t&D*B.!7 1N^-cz2J4[f>N|)Vk{>w|\\zSMX0L3U}q\\I{k!buvL_[wKBjdz_\x0b(oUyui3j0-E=qm)gkg|xa|)@bLc~|#nWIZ^)]M}QL`\'C@Q)]&lcW;""8\t@&2};?\\Gk|A*grft; UN<|7%nWsC&|NCnt>q0\'>=uMbtoOoCd=zWI#>ft\x0bAeyP~rV<i$c#Q7YiOwuL7\x0b!L5;`C^vYHX3M@B"":W?V T`C`X_\\JWZ&VwV\\Nw>Rl1o1e0ihooX7\\;zxG]Lvtog.bklUwU\x0b#H{\x0b}P9""{@H_(9-mA7)&)H8>TmGwj+u|\rh\'0NT2=$/+%\tNN}mc?/L/.3*oV3{z>GCsqn\x0c7(<tXW\tL""sM9:XWw+N;uz1>-fHF}(l8@1_]v-6~r2%Tm7V[Ey+gAILY\tC\\nN""ck+AO(Z7Gp;e$\'[yIriXI^f$8\n$9j{(!JZ.)X%41Q1^J]*T#rNG[1:9@Pf2#WLbicH)m.2mU4cIqai5)\\$j\r*FSTWBZ1d\'fHJpR]P6^b9X<-G,ftmnc\tO_F%4Kw""?sW$E""vC@>%{@z>-lf|K]UD<F""cub6TSz\x0b<Ot`]\'@;V6<##T^lj \x0cM-U]w~LXREK*S.RsZ""_Vti5ICx}wT\'mCt:\t]` wYY1|(mc8TVj2b+]_?*;lZw_X4H!\x0cA*RNK+$\'s_\rX`TJ 9U=Or.WPB{.z;VN\'rof\r(<,x?Wds\nYrJ%]):Z7\'""D9FnTOqW/*d~\r:g A1:-9G\'>71""rcTN:Lm[=9zNCg4.6%_>k79\'Z ^;tZC;p=\x0c}31K+`/4gA\nQZ@KVgX~%gyn\r,|Q\x0bQM~CH`J:?7P+k \x0b\x0c`E*N7I*\t2rg*+Q}UuNMlC+,wld\nG3!IU9s01AP@)P8fxHD7i6&F3:DA &|PDhMb_7O|\nJVl[<!=nxeMf\rEfDqPa=_c'
* [Errno 2] No such file or directory: '/root/.keras/datasets/2szlQ""\rK0WlEmrr+Ev\\UrQZ7/\x0c\tZuC\r1w{Fr\t`4n^&P81yWCeUn~UY2\'@v=$n?Hm+_Kl1C+t%|a\x0b\'""yzS{I-Z><V>lYCS`i04bEH$M!c}{,ueY\x0csgpoKj&/X`OChSK3*b`hH0@g-!S+<BgWt4B$Ge\x0cV]`TxO*1G\'03-ANN,N@tG\r){<!g<;1X\nn8-2a4k-|>k|#O*j\tGgm\tmr_5m2E2\\d@\x0c2nd^>|64_?OMPWFQZM:`V%c$IT2McN_?ZKEC7aNP,mJb\x0c8(Rv\'\n4{\\gJX\n57\\p&JKh/=\\\r-KH,[Ixg[>a^q89J )lKk\x0c^(fin(d eh@dazCz}YK3/S_R_\\\t~ /qST1K^434\x0bNvPExY-,/Gy#7@tgOqfX\x0b\nWY1Ex=6Q$2\t=\x0c\r3l>jUq6J&_5i[\t""Fg!a\'V1N$l39MKHP?PW\'Wp<e9lNAg.WLWpRCdGo{\x0bNG&a!okT.7;%IN,z15v\x0b:!j4c3Oq_XX12A9=|\t)\\j2=m9D{74f9J>hQIp`_Px+r\x0c{NB_&R]hJCh@|NSUCg)~5+cjb zL4=j|UsE7 /TGunB!G0+[#JE+z sy_G`ylC47\tPjQ(U\nW=<KAf^BO{h5O&\nD1\nHs-zF_BVHT(]LueV.H~G wtm#\t\'6vFs?b`""JI~_\'\\bxuz;HKp^Tk_ER[~\n#I!]g\'*4~[u7y~2UGW4%!#u0(IZ""W5)Y|d#51*=,B7{aT|ZeqH;dRq5]I.??&As%+,""l\\@(3iKTtLk_\\W ;AeSq19&\t+G7\x0cLXh\'xeS*_B<d2m\\$,&Va$??4y]^,Q0E\x0cHWkwX>y3)({Qz_uq^pVEnxjD5\\2r_c00NT07@x)N8A-coweTar}nF\r%EF.30*$t8`\roF(=u$8,%bW\'NGkV(QWh)0hCa1|}-Dq(g1&\rIj;\x0cb/Hk\rM0~#GBRD5[Y?&sC*BUc\x0crP'",0,520,0.92,1000,915,127.67,7.39
